;ID;sentimentScore;text
16;9.10E+21;0.5;Als Abgeordnete verstehe ich mich als Ihre Stimme in Berlin und setze mich mit vollem Einsatz f<fc>r unsere sch<f6>ne...
17;8.21E+22;0.5;Voller Zugang zum europ<e4>ischen Markt ist <fc>berhaupt kein Problem! Nennt sich EU...#brexit #Hammond @tagesschau
18;8.73E+22;0;Bienvenue <e0> Berlin. Der neue franz<f6>sische Innenminister @gerardcollomb zum Antrittsbesuch bei Amtskollege #deMaizi<e8>re. <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BC><ed><U+00B7><U+00A9><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA>
19;8.65E+22;1;Herzliche Gr<fc><df>e  viel Gl<fc>ck und Gesundheit! <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>
20;8.53E+22;1;sehr sch<f6>ne Bild-Text-Dokumentation der christlichen Bedeutung der Ostertage:
21;9.12E+22;0;Ich will meine rechtsnationale CDU zur<fc>ck haben!!!!!
22;8.80E+22;0.5;Es gibt L<f6>sungsans<e4>tze  die realistisch sind + den Menschenrechten gerecht werden#Refugees
23;8.55E+22;-0.5;#AfD #Bayern-Chef Petr Bystron wusste sofort  wer den #BVB-Bus gebombt hat. Hat er sich schon bei Lahm entschuldigt?
24;8.30E+21;0;Viele Niedersachsen sitzen bei dem heutigen Treffen vor der Bundespr<e4>sidentenwahl in der 1. Reihe  auch @althusmann
25;8.37E+22;1;Wir machen Deutschland stark anstatt es schlechtzureden! Der Arbeitsmarkt brummt weiter.
26;9.12E+22;1;@sven_kindler Gl<fc>ckwunsch  Sven!
27;8.35E+22;1;Habe ich ebenfalls unterzeichnet! Herzlichen Dank f<fc>r die Initiative @NielsAnnen und @nouripour
28;8.29E+22;0.5;Sehenswert: @TiloJung befragt @SWagenknecht f<fc>r @JungNaiv
29;8.33E+22;0;@DieterSteffmann Die Antwort ahnen Sie wahrscheinlich auch.
30;8.64E+22;-1;Das Schulzbeben hat die #SPD ersch<fc>ttert. Es z<e4>hlt eben doch die Leistung  nicht nur leere Worte. #ltwnrw
31;8.43E+22;1;@Twidttdi @CDU Deutschland steht so gut da wie noch nie. Schauen Sie sich mal in der Welt um.
32;8.91E+22;-0.5;Am 2.8. sind Ressourcen ersch<f6>pft: #EarthOvershootDay. Jedes Jahr verschiebt sich d. Tag nach vorne. #movethedate!
33;8.54E+22;0.5;Wir bauen f<fc>r bessere #Stra<df>en in #RLP! #Doppelhaushalt #ltrlp Fakten dazu:  CC: @MWVLW_RLP
34;9.00E+22;0;Jetzt Ausgraben der Kirmes zum Auftakt zum Einricher #Heimatabend am #Bartholom<e4>usmarkt in #Katzenelnbogen
35;8.17E+22;0.5;Danke an die vielen ehrenamtlichen #Sternsinger  die bei der Eisesk<e4>lte heute von Haus zu Haus ziehen
36;8.81E+22;0;Meine Rede zu den Leitlinien Krisenpr<e4>vention: #Frieden machen mit ziviler Konfliktbearbeitung
37;9.10E+22;0;Ja  das gibt es  dass die Koafraktionen nicht exakt derselben Meinung wie der Senat sind. Wir sind die Legislative. Senat ist die Exekutive.
38;8.41E+22;-0.5;Bundespr<e4>sident Joachim Gauck bef<fc>rchtet russische Einmischung in Bundestagswahlkampf.
39;8.45E+22;-0.5;Debatte dreht sich im Kreis. Standpunkte sind ausgetauscht. @AlbrechtSelge @iGELei
40;9.10E+22;0;Gut besucht war die Veranstaltung mit dem Film Als Paul <fc>ber das Meer kam heute abend im Lothar-Bisky-Haus. Der...
41;8.98E+22;0.5;#Real zaubert schon wieder. #Asensio #SuperCopa
42;9.08E+22;0;Das diesj<e4>hrige Tier der MeLa ist die #Honigbiene. @ManuelaSchwesig
43;8.43E+22;0.5;.@MartinSchulz: Wir haben den Mindestlohn eingef<fc>hrt und damit Hunderttausenden ein besseres Einkommen und eine bessere Rente erm<f6>glicht. <f0><U+009F><U+0092><U+00AA>
44;8.70E+22;-1;Es geht um Bau  nicht um Besitz. Das m<fc>ssten Sie wissen. Ihre Unterstellungen w<e4>ren auch bei der AfD gut aufgehoben.
45;8.60E+22;0;Live dabei: in Leipzig diskutieren Politik  Medien und Wissenschaft zu Wem geh<f6>rt der Rundfunk? Hier Stream
46;8.75E+22;0;Wenn Ihr Euch einen sch<f6>nen Tag machen wollt  dann auf zum #CTC auf den Stadionvorwiesen.. ich winke heute wehm<fc>tig aus der Ferne. <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9> #Koeln
47;8.60E+22;0;Vertreter des @JFDA_eV erkl<e4>rt besondere Stellung des #Antisemitismus unter den sonstigen Rassismen. /TS
48;9.07E+22;0.5;Heute @spdde +2 und ich bin jetzt Naturfreund @NaturFreunde Berg frei!
49;8.43E+22;0;Wissmanstr.  Am Ende k<f6>nnte eine Infotafel stehen<U+0093>  Bez. B<fc>rgermeisterin F. Giffey. Umbenennen muss das Ziel sein
50;9.11E+22;0;#Linker Wahlkampfabschluss in #G<f6>rlitz F<fc>r ein soziale Politik!  Mit @schullegr und @thorstenahrens @AlexJahns
51;8.61E+21;0;.@HenrietteQuade erkl<e4>rt:  UN-Fl<fc>chtlingskommissar selbst empfiehlt die Dublin-<dc>berstellungen auszusetzen. #ltlsa
52;8.16E+22;0;Theory of Mind war letzte Bastion Unterschied Mensch Tier  auch diese jetzt gefallen: Pferde wissen  was du wei<df>t
53;8.82E+22;-0.5;F<fc>r Heiko Maas gelesen: 1984. Wirklich erstaunliche Parallelen f<fc>r den komplett ungebildeten Minister -oder Absicht?
54;8.78E+22;-1;So YouTube-Filmchen oder Videoclips f<fc>r die eigene Homepage sind toll  da kann jede*r jeden Mist behaupten  Gegenrede geht nicht. #nurmalso
55;8.85E+22;0.5;Die Bewerbungsfrist f<fc>r den #Ausbildungsbeginn am 01.03.2018 endet am 16. Juli 2017. Jetzt bewerben
56;8.48E+22;1;Herzlichen Gl<fc>ckwunsch <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
57;8.97E+22;-0.5;2016:Nur 1000 Asylantragsteller  f<fc>r die wir zwingend zust<e4>ndig waren. Alle anderen waren schon vorher sicher. #AfD
58;8.81E+22;0.5;Plenum ist rappelvoll. Jetzt gehts los mit #ehefuerralle #bundestag
59;9.19E+22;0;Fangen wir mal oben an...
60;9.09E+22;-1;Der #DFB ber<fc>cksichtigt #Bremen nicht bei der Vergabe zur #EM 2024. Wundert sich wirklich jemand? Danke an #SPD und #Gr<fc>ne f<fc>r das Eigentor!
61;8.55E+21;-0.5;Gutes Beispiel von @BystronAfD daf<fc>r  warum spontane Wutreden selten eine gute Idee sind... #bvbanschlag #AfD
62;8.55E+22;-0.5;@oliver_me Und falls sich jemand fragt wer der Typ da rechts von Trump ist ...
63;9.03E+22;0;11 8 Millionen Euro f<fc>r Sanierung von Schulen im Kreis Euskirchen  via @EifelerPresse
64;8.56E+22;0;@marcelhafke Das mit dem Wechsel denkt sich euer Chef ja auch: schnell von D<fc>sseldorf nach Berlin. <f0><U+009F><U+0098><U+0089>
65;8.38E+22;-0.5;Wie nennt man das wenn Polizist f<fc>r sog. Gewerkschaft t<e4>tig aber als rechter Scharfmacher mit echtem Steuergeld bezahlt wird? #Wendt #DPolG
66;9.02E+22;0;Peter Steudtner in Haft: Ein Abendgel<e4>ut gegen das Vergessen
67;8.40E+22;0;.@MWBirkwald: Gesetzliche #Rente st<e4>rken oder private Vorsorge erzwingen? #Nahles will eine Pokerrente einf<fc>hren
68;8.47E+22;-1;Banken &amp  Versicherungen #Rendite verschaffen  parlamentarische Kontrolle ausschlaten &amp  die Allgemeinheit muss zahlen
69;9.05E+22;0;Zum Abend noch eine Lekt<fc>re.
70;8.19E+22;0.5;Gute Nachrichten f<fc>r die SPD: auch in der aktuellen Forsa-Umfrage ist die Partei noch nicht unter die 20 %-Marke gerutscht.
71;8.57E+22;0;War heute zu einer waldpolitischen Podiumsdiskussion bei einer Tagung des Deutschen Forstwirtschaftsrats in...
72;8.32E+22;1;Danke f<fc>r die Einladung! #gr<fc>ne #steze #mobilit<e4>t #fahrrad #stammbahn #100tage #r2g #radg #sbahn :)
73;8.34E+22;0.5;@LinksfraktionBN Nein  Flutlicht war immer vorgesehen  nicht nur wegen R<fc>ckzug Solingen. PS Russland stellt ein starkes Baseball-Team :-)
74;8.50E+22;0;Internes Papier der Bundesregierung: 267.500 Syrer d<fc>rfen ihre Familienangeh<f6>rigen nach Deutschland nachholen
75;8.91E+22;-0.5;Der Bezirksamtsleiter in #Bergedorf ist nicht mehr zu halten.
76;8.28E+22;-0.5;#Will Alexander Lambsdorff kritisiert Gendergaga. <f0><U+009F><U+0098><U+0082> AfD wirkt
77;8.64E+22;-0.5;Treffen der G7-Finanzminister auf Sizilien soll nicht von Gefl<fc>chteten auf privaten Rettungsschiffen gest<f6>rt werden:
78;8.48E+22;1;<U+0095> Glamour<f6>s! Das neue Farb-Bandaufzeichnungsger<e4>t TR-70 (Videorecorder).
79;8.79E+22;-1;Meine Nachrichten geh<f6>ren mir! Der #Staatstrojaner macht unsere Freiheit kaputt.
80;8.65E+22;1;W<e4>hl mich f<fc>r a) h<f6>heren Mindestlohn  b) mehr Rente  c) eine neue Eigenheimzulage  d) E-Auto-Subventionen  e) alles davon. Keine Bestechung?
81;8.97E+21;0.5;@hahnflo in #Br<fc>hl. Sicherheits- u Au<df>enpolitik aus erster Hand!
82;8.77E+21;-1;Obdachlosen get<f6>tet und angez<fc>ndet <U+0096> siebeneinhalb Jahre Haft #AfD #H<fc>tter
83;8.38E+22;0.5;25 mal zierte ein Museumsfenster Gau-Odernheim. Leider heute zum letzten Mal. Ein gro<df>es Dankesch<f6>n gilt dem...
84;8.28E+22;-1;@martinburster @M45852800 Vielleicht sollten Sie sich zur Abwechslung auch internationale Sender ansehen und nicht nur das #Staatsfernsehen.
85;8.70E+22;0;Zehn-Punkte-Plan - #Gr<fc>ne stellen Bedingungen f<fc>r Koalitionsvertrag
86;8.90E+22;-0.5;Gestern im Chemiedreieck mit @GrueneMuehldorf #<d6>PNVHeute Bermudadreieck Gr<fc>ne #Cham illegale Luchst<f6>tung #Umweltkriminalit<e4>t
87;8.84E+22;1;Danke an alle Polizisten. Unsere Solidarit<e4>t geh<f6>rt Ihnen  und zwar uneingeschr<e4>nkt.
88;9.06E+22;1;@ekindeligoez @BR_kontrovers @DB_Bahn Gut gemacht!
89;8.82E+22;-1;Statt B<fc>rgerrechte zu verteidigen dulden SPD/GR<dc>NE in Hamburg rechtswidrigen Polizeieinsatz gegen genehmigtes Camp
90;8.39E+22;1;Moin aus L<fc>beck und einen guten Start in die Woche!
91;9.05E+22;0;Der zweite Spot der SPD zur Bundestagswahl:
92;8.48E+22;-1;Mit welchem Deal wurden Rot und Gr<fc>n denn da eingekauft f<fc>r die nutzlose #PKWMaut?! CL
93;9.19E+22;0;Damit die Palmen im #W<f6>rlitzer Park den Winter <fc>berstehen  werden sie ins #Palmenhaus gebracht. Gar nicht so leicht:
94;8.62E+22;0.5;Hier ist das Statement von @UlliLeiner zum Nachh<f6>ren und nat<fc>rlich auch zum Senden  liebe Radiokollegen!
95;8.74E+22;-0.5;Umweltminister @StefWenzel fordert endlich echte Ma<df>nahmen f<fc>r mehr saubere Luft in St<e4>dten. Recht hat er  wird Zeit! #ldknds
96;8.91E+21;-0.5;PM der BAW: @Umweltbundesamt fordert ein #Nachtflugverbot. Senat ist beim Schutz der B<fc>rger*innen in der Pflicht.
97;9.02E+22;-0.5;Sagt der Minijob-Guru f<fc>r Arme <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
98;8.80E+22;-0.5;@schillipaeppa @mad_auntie @norwichruesse @RenateKuenast Warum schont die neue StoffstromVO des Bundes Grossbetriebe und belastet Kleine?
99;8.83E+22;0.5;Schwarzer Block zeigt  wie die bessere Welt wirklich aussieht. @SH_Polizei @PolizeiHamburg: danke &amp  stay safe! #welcometohell #G20HH17
100;8.84E+22;0.5;Besondere Ehrung f<fc>r Hans Fr<f6>mbgen und Gerd D<fc>llberg
101;8.42E+22;-0.5;Den n<e4>chsten Schritt will man sich nicht ausmalen. #AfD
102;8.43E+22;-0.5;Dann w<fc>sste ich ja doch gern  warum eine Gruppe Menschen durch blo<df>e Anwesenheit in der Meldung landet  @szonline?!
103;9.20E+22;1;Gl<fc>ckwunsch an unsere alten und neuen Fraktionsvorsitzenden. @SWagenknecht und @DietmarBartsch mit grosser Mehrheit wieder gewaehlt <f0><U+009F><U+008E><U+0089>
104;9.14E+22;1;Sehr zu empfehlen <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>
105;8.50E+22;0.5;Heutiger Lieblingslacher aka Primetimeline mit @VoxDark und @BVG_Kampagne.
106;9.03E+22;0.5;Gute Berliner Bilanz im #Arbeitsschutz - neuer Bericht von Senatorin @ElkeBreitenbach jetzt vorgestellt:
107;9.14E+22;0;Tillerson: USA in Kontakt mit Nordkorea wegen Atomprogramms  #Eilmeldung
108;8.24E+22;-0.5;Donnerstag - Protest vor dem Bundestag:Auslandseins<e4>tze der Bundeswehr beenden!Am 26.01.17 wird im Deutschen...
109;8.46E+22;0;SPD startet im Tierpark in den Wahlkampf | NDR.de - Nachrichten - Schleswig-Holstein - landtagswahl_2017
110;9.09E+17;0.5;Jetzt wird es sportlich. Politikteam heute beim Wettkampf f<fc>r jedermann #Feuerwehr #Callenberg in #Langenberg. Mal sehen  was wir rei<df>en<ed><U+00A0><U+00BD><ed><U+00B8><U+0089>
111;8.77E+22;1;Guter Kommentar  teile ich gern!Die Konsequenzen der Fahrl<e4>ssigkeitspolitik der letzten Jahre sind so deutlich...
112;9.08E+20;-0.5;Kollatz-Ahnen: Wir werden 2 5 Milliarden Euro pro Jahr investieren  dass sind 500 Mio. mehr als die Koalition vereinbart hatte. #agh
113;8.47E+22;0;@olavgutting tja  so ist das leben
114;9.10E+22;-0.5;Wir brauchen eine klare Identit<e4>tsfeststellung um zu wissen  wer ein Syrer ist und wer sich nur als einer ausgibt! #AfD #hartaberfair
115;9.09E+21;0;Und auch heute sind wir wieder mit dem etwas anderen Infostand in der Innenstand von #Minden. #Gerechtist #PostnachBerlin
116;8.43E+22;0.5;Gleich geht's los! #spdbpt17 #zeitfuermartin #zeitfuermehrgerechtigkeit
117;8.34E+22;0.5;#Solar schl<e4>gt #Klimakiller #Kohle: Solarkraftwerke mit Speicher sind  kosteng<fc>nstiger als neue Kohlekraftwerke.
118;8.40E+22;0;Ausgabe #Kempen: Kreishaus trifft #Bundestag
119;8.53E+22;1;Die Detmolder SPD hat ein tolles Osterfest f<fc>r Familien im Palaisgarten organisiert. Der Osterhase hat auch...
120;8.40E+22;-0.5;@tenn05 Leider in Berlin gebunden...
121;8.65E+22;0;Gleich spreche ich mit Sch<fc>ler*innen der JFK-Schule <fc>ber die Klimapolitik von #R2G.On my way to Zehlendorf... <ed><U+00A0><U+00BD><ed><U+00BA><U+0083><ed><U+00A0><U+00BD><ed><U+00BA><U+0083><ed><U+00A0><U+00BD><ed><U+00BA><U+0083>
122;8.53E+22;-1;Letzte Nacht gab es einen Brandanschlag auf eine bewohnte Gefl<fc>chtetenunterkunft in Kremmen in #Oberhavel. Hier wurde der m<f6>gliche Tod...
123;8.79E+22;0;Sebastian #Steineke MdB - Meine Woche in 60 Sekunden #f<fc>rsieda #cdu  via @YouTube
124;9.17E+22;-0.5;Sturmsch<e4>denbeseitigungssonntag #gartenkram
125;8.55E+22;-0.5;Hetze auf Facebook: Rentner wegen Beleidigung von Dunja Hayali verurteilt - SPIEGEL ONLINE - Kultur
126;9.04E+22;0;Der Sechtemer Burgenlauf ist eine Institution. Das Wetter passt  viele Hundert Teilnehmerinnen und Teilnehmer......
127;8.47E+22;0.5;Gemeinsamer europ<e4>ischer Optimismus: AM @sigmargabriel empf<e4>ngt AM @AlfonsoDastisQ aus #Spanien.
128;8.78E+21;0;SPD u Linke Anh<e4>nger klar gegen die Kreisreform der Landesregierung Brandenburg ##vibb
129;8.80E+22;-1;Schwarzer Tag f<fc>r #Lichtenrade: Entscheidung gg #Tunnell<f6>sung durch @BVerwG_de gefallen.Mehr:
130;9.06E+22;0;Morgen geht es weiter im #NSU-PUA zum Thema #NaBe mit #Polizei  #LKA und ex-Justizministerin. Mehr dazu hier:
131;8.27E+22;-0.5;Familienministerin @c_kampmann mit einem eindringlichen Impuls bei #VaeterNRW #Familienpolitik
132;8.82E+22;-1;#G20HAM17Durchsuchungen bei polizeibekannten Linksextremisten: gef<e4>hrliche Gegenst<e4>nde sichergestellt!Information:
133;8.26E+22;-0.5;@keinetheorie Ja fehlende Reform und Demokratisierung ist gro<df>es Problem.Aber Sanktionen f<fc>hren eben auch nicht dazu.
134;8.44E+22;0;@atklauner @AlexNeuber @BetterCallAxel @EskenSaskia schaun wir mal was der w<e4>hler w<e4>hlt <f0><U+009F><U+0098><U+008E>
135;9.11E+22;-1;L<fc>gen-K<f6>nig-Preuss zahlt erst nach Pf<e4>ndungseinleitung... und dann nicht mal alles!
136;8.23E+22;1;Sch<f6>nes Wochenende  -)
137;8.55E+22;-0.5;Wer hat da weggesehen?
138;8.24E+22;0;#SigmarGabriel schl<e4>gt gerade vor  dass #MartinSchulz #Kanzlerkandidat und #Parteivorsitzender werden soll
139;8.61E+22;-1;Opfer der eigenen  jahrzehntelangen Bildungspolitik: @nrwspd
140;8.85E+22;0;Heute Besuch des Eurofighter-Geschwaders in Lage und am Abend eine scherheitspolitische Diskussion bei der SPD in G<fc>strow.
141;9.06E+22;0;Die #Schilleroper muss bleiben! Unser Appell zum Tag des offenen Denkmals:
142;8.83E+22;-0.5;Meine Empfehlung: DGB-Chef Hoffmann zum Wahlprogramm der Union:: Man muss hart sagen: Gerecht geht anders
143;8.78E+22;0;Jetzt Thema im :Grundgesetz<e4>nderung f<fc>r #Parteienfinanzierung - mit @RenateKuenast Info:
144;9.10E+22;-0.5;In der Polizeistatistik landen bisher so wenige F<e4>lle  weil nur selten Anzeigen erstattet werden #AfD
145;8.71E+22;0.5;Klimaschutz &amp  Energiewende? 1.Wahl: Energieeffizienz ...denn Klimaschutz geht uns alle an @ChrisKuehn_mdb
146;8.99E+22;-0.5;Gr<fc>ne Z<fc>ge entgleisen aber gerne. Vorsicht! #TrauDichDeutschland
147;9.06E+22;1;Gute Nachrichten f<fc>r den Internationalen Freundeskreis e.V. in Salzbergen!
148;9.10E+21;0.5;Spannender Longread von @Petra_Sitte_MdB und J<fc>rgen Scheele zu Digitaler Innovation  Autos  Jobs  Grundeinkommen:
149;8.42E+22;0.5;demn<e4>chst glitzernd unterwegs :-)
150;8.26E+22;1;Ein irres Gef<fc>hl: Gerade bin ich vom Vorstand meiner Partei zum Kanzlerkandidaten nominiert worden. Ich bin dem<fc>tig und dankbar.
151;8.59E+22;0;Demoradio mit aktuellen Infos zu #HAL0105 ab 10 Uhr bei @radiocorax auf 95 9 UKW bzw. im Stream auf radiocorax.de
152;8.31E+22;1;Freue mich  dass f<fc>r die Union auch Hape Kerkeling bei der #Bundesversmmlung war. Toller Typ.
153;9.00E+22;-1;Entzogene Akkreditierungen bei #G20 und die offene Frage  wie man so gravierende Fehler in Zukunft vermeiden kann:
154;8.56E+22;1;Prima und kleine Sensation in der Schweiz: #gr<fc>ne gewinnen erstmals Regierungssitz bei Kantonalwahlen von der #FDP
155;8.67E+22;-1;Wer <U+00BB>Teilhabe<U+00AB> sagt  will betr<fc>gen.
156;8.77E+22;0;Vorbereitung Jahresempfang der @CDUBerlin_AGH laufen #CDU_AGH
157;8.56E+21;0;Das habe ich bei FFH gesehen: SPD will Kita-Geb<fc>hren in Hessen abschaffen
158;8.53E+21;-1;Das #Tanzverbot ist v<f6>llig aus der Zeit
159;9.01E+22;0.5;sei dabei!
160;8.68E+22;-0.5;Mieterforum Pankow: Kritik der Kooperationsvereinbarung 2017
161;9.12E+22;1;Dagmar Freitag hat das Direktmandat im WK 150 f<fc>r die SPD geholt!
162;8.83E+22;0.5;Wir lassen nicht locker! Fordere rechtsstaatliche Verfahren f<fc>r @Besser_Deniz &amp  inhaftierte Journalisten. #FreeDeniz
163;9.11E+22;0;Jetzt noch ein bisschen Haushalt (Einzelplan 01) im Koa AK und dann Jugendhilfeausschuss im Erfurter Rathaus. Wird also nicht langweilig )
164;8.30E+22;1;Ich freue mich auf das Gespr<e4>ch mit @FHeiligenstadt und den Schulleiter*innen meines @LKreis_Harburg Es gibt redebedarf. Wir h<f6>ren zu. #spd
165;8.26E+22;-0.5;Macht der Anstieg des #DowJones aus einem menschenverachtenden Egozentriker einen guten Politiker? #hartaberfair
166;8.44E+22;1;Geht doch: Bitte hier klicken!
167;8.58E+22;-0.5;#SPD weiter gegen Innovationsprinzip f<fc>r Neue #Gentechnik. Aufrecht bleiben gegen diese Nacht- &amp  Nebelaktion!
168;8.45E+22;-0.5;Rhein: wenn Innenminister Einsch<e4>tzung des Ministeriums wieder gibt  macht er sich dies nicht automatisch zu eigen. #nsu #hlt Absurd!
169;9.12E+22;0.5;Noch bis 18 Uhr haben Sie die Wahl! #btw17 #DenkenWirNeu #SchauenWirNichtL<e4>ngerZu
170;8.72E+22;-0.5;Terrorbek<e4>mpfung: Sicherheit muss gesch<fc>tzt werden
171;8.32E+22;-1;Pegida-Sympathisant erfindet ihn BILD enth<fc>llt den Fre<df>gass-Sexmob  alle anderen ziehen nach und jetzt: Alles L<fc>ge
172;8.35E+22;1;#Mehr Demokratie wagen!
173;9.16E+22;-0.5;100 Tage Schwarz-Gelb in NRW.  Fehlstart in entscheidenden Zukunftsfeldern  meinen @MonaNeubaur und @Arndt_Klocke:
174;8.48E+21;-0.5;Damit ist wohl klar  dass Schr<f6>der bei @ArminLaschet abgekupfert hat und nicht andersrum!
175;8.79E+22;1;Sehr sch<f6>n: #Weidemilch Label immer erfolgreicher:  #Niedersachsen #gr<fc>ne #Gr<fc>nland #Gehtdoch
176;8.50E+22;0;Jubil<e4>um G<f6>ttingen in S<fc><df>en. Mit dem bayrischen Landesvorsitzenden Duin  Kreisvorsitzenden Koc
177;9.02E+22;0;Heute Abend noch nichts vor? Schau Dir den l<e4>ngsten Wahlspot der Welt an.  #btw17 #DenkenWirNeu
178;8.64E+22;-1;Es fehlen 8500 Stimmen. Wir lernen: wer nicht DIE LINKE w<e4>hlt  bekommt Schwarz-Gelb. #ltwnrw
179;9.12E+22;1;Ganz herzlichen Gl<fc>ckwunsch an @LieblingXhain - aufrechte linke Stimmen wie deine &amp  die von @lisapaus wird die neue gr<fc>ne Fraktion brauchen.
180;9.12E+22;0;Wahl-Krimi in Freiburg: Holt Andreae das Direktmandat? @KerstinAndreae
181;8.87E+22;-1;Das ist mit das heftigste Video von #Polizeigewalt bei #G20
182;8.90E+22;-1;Keine Kleinigkeit. Jenseits des guten Geschmacks und au<df>erhalb meines Verst<e4>ndnis f<fc>r den politischen Wettbewerb.
183;8.52E+22;0.5;Auf geht's! #socialmedia #science (@ Institut f<fc>r Marketing in Hamburg)
184;8.82E+22;0;Wirtschaft : Molkerei in Bad Bibra bleibt im Gespr<e4>ch
185;8.42E+22;-0.5;.@ElkeBreitenbach: Senat arbeitet an neuem Konzept der Wohnungslosenhilfe. #Berlin #R2G #LINKE
186;8.83E+22;-1;Kritik an #G20 ist berechtigt aber Gewalt nicht!
187;9.20E+21;0.5;Der Wahlabend sendet Botschaften weit <fc>ber #Niedersachsen hinaus. Kommentar: #LtwNds17
188;8.92E+22;-1;<c4>hm  Sie meinen Teile der #BuReg. @Die_Gruenen w<e4>ren mit mickrigen Software-Updates nicht zufrieden. #dieselgate
189;9.14E+22;0;Adde mich bei #Snapchat! Nutzername: stein_sebastian
190;8.47E+21;-1;#AfD sackt in aktueller Umfrage zur #Bundestagswahl auf 7 Prozent ab
191;8.56E+22;0;Um 10 Uhr beginnt der Landesparteitag der @hessenSPD in Kassel. U.a. geht es um die Listenaufstellung zur Bundestagswahl. #LPG2017 #SPD
192;8.92E+22;-0.5;#tegelschliessen weil steigender Flugl<e4>rm f<fc>r Anwohner nicht mehr auszuhalten ist &amp  es gutes Konzept #ZukunfTXL gibt
193;8.75E+22;-0.5;@NiemaMovassat auf dem #ZukunftEZ Blog <fc>ber den seiner Meinung nach gef<e4>hrlichen Paradigmenwechsel der dt. EZ:
194;9.05E+22;-1;#N<fc>rnberg verbietet Gauland  auf #AfD-Veranstaltung zu reden. Das ist ein Angriff auf die Demokratie!#Zensur
195;8.57E+22;-0.5;Innensenator: 1. Mai wird nicht v<f6>llig friedlich  #Berlin
196;8.57E+22;0;Vertrag mit China: Offiziell: Berliner Zoo bekommt sein Pandap<e4>rchen
197;8.40E+22;0.5;Wir pr<e4>sentieren gleich unseren #Wahlprogrammentwurf. Der Spitzenkandidat ist schon bereit. #btw17 @cem_oezdemir
198;9.03E+22;-1;AfD-Skandal der ganz besonders widerlichen Art:
199;9.13E+22;0;Was ich auf Facebook sagte.
200;8.19E+22;-0.5;@MGrosseBroemer Ja  ja  die b<f6>sen ideologischen wissenschaftlichen Studien.
201;8.67E+22;0;Die Auswirkungen von Mietpreisbremse und Bestellerprinzip...
