sentimenScore;text
-1;nach merkel besuch  vacha  junge wahlkampfhelfer der cdu zusammen geschlagen  krankenhaus  polizei ermittelt 
-1;hersteller betruegen bei diesel abgasen  wenn dobrindt umruestung anordnen wuerde  braeuchten wir fahrverbote nicht 
-1;kalifornien machts vor und warnt vor monsanto pflanzengift  glyphosat    wegen krebsgefahr  
-1;heute eroeffnung des erinnerungsortes fuer die opfer des olympia attentats  muenchen    unschuldige opfer mahnen uns
-1;fuer wie dumm halten die altparteien eigentlich den buerger  afd traudichdeutschland btw17 
-1;razzia  reichsbuerger baute fake waffen  scharfen waffen  
-1;sexismus ist  uebrigens auch wenn kurze hosen  plenumth ein problem sind kurze roecke aber voellig  ordnung stillneedfeminism
-1;muecken  ist herbst  geht sterben 
-1;afd plakatiert unerlaubt vor    helfen ordnungsamt beim entfernen  afd spielt opfer  
-1;doppelmoral der gruenen  das passiert mit unseren steuergeldern    ist einfach nur unglaublich  abwaehlen 
-1;immer mehr menschen werden  ihre lebensleistung betrogen  jeder vierte geht jetzt schon mit abschlaegen  rente 
-1;das haft protokoll  bewegender text von  aus dem knast   freedeniz
-1; moenchengladbach ist die polizei mit stimmenauszaehlung befasst  wir pruefen  wahlbetrug  betracht kommt 
-1;obdachlose prostituierte mord   berlin leidet unter rotrotgruen video podcast 
-1;hamburg g20 aktuell  verletzte beamte  wahnsinn 
-1; tage umsonst gearbeitet  das ist ungerecht  wir wollen den equalpayday nicht erst    maerz feiern  sondern
-1;der taegliche groeinsatz  chemnitz  heute terroralarm afd huetter 
-1; festnahmen bei der demonstration zum 1mai  istanbul  demonstrant bei unfall mit wasserwerfer getoetet 
-1;meinungsmache auf billige art  schulz nennt falsche zahl  stimmungsmache   afd  hat die  das noetig 
-1;giftgas angriff ist verbrechen  egal durch wen  aber  us angriff auf syrien ist irrsinn   jubelt  direkte konfrontation usa russland 
-1;neue erkenntnisse  fall amri bestaetigen  sicherheitsbehoerden haben versagt und dann versucht  vertuschen 
-1;vollpfosten  ging das nicht auf die stirn  jetzt sehe ich  nichts mehr  
-1;atombombe little boy zerstoerte heute vor  jahren hiroshima  tage spaeter fat man nagasaki   archiv 
-1;das ganze system ist krank 
-1;unser autor  hat eine botschaft  linksautonome krawallmacher  hamburg  verpisst euch  
-1;gewaltexzess von vier stunden dauer  der jva leipzig  afd huetter 
-1;lichtenberg  nach messerstecherei auf dem gehweg zusammengebrochen    
-1; armut per gesetz von anfang   wuerdelos  
-1;der islamistische terror ist schon lange kein problem mehr eines einzelnen landes  deshalb muessen wir  europa gemeinsam gegen  kaempfen 
0;  dafuer gibt  doch das instrument der namentlichen abstimmung  oder 
0;uff  geschafft  einmal das berliner energie  und klimaschutzprogramm komplett durchgelesen  bek 
0;wir suchen  sachbearbeiterinnen   sachbearbeiter fuer die abteilung buergerservice verkehr 
0;auf zum infostand  floraland zwoenitz erzgebirge  nachmittags dann wieder tzt haustuerwahlkampf  mittelsachsen  btw17 fedidwgugl cdu
0;wer haette denn das gedacht  
0; ich verga      009f      008e 
0;rosen verteilen zum internationalen frauentag mit  
0;offenes buero zum thema kultur  kieler landeshaus 
0;wir machen  gerecht    eine halbzeit bilanz von rot rot gruen  thueringen  linke
0;  fit fuer den weltweiten medienwettbewerb deutschewelle 
0;zum tage   tierschutz 
0;lte bei der bvg    schnell soll berlin bald  untergrund surfen  
0;gegen hass  der politik hilft nur  waehlen gehen  darumgruen btw17 trumpun 
0;landesparteitag kann beginnen   schuppen eins 
0;noch bis    mitmachen beim joseph von eichendorff liederwettbewerb   
0;  sitzt  gerade  ice 
0;gruenflaeche  der stadtpark ist der groete sportplatz hamburgs  
0;gospel touch choir   let  bemein musiktipp fuer euch  drauen  digitalen orbit  
0;gregor mayntz  hier finden sie den vollstaendigen artikel  guter kommentar heute  der  rot gruen  ende
0;schottische regierungschefin strebt unabhaengigkeitsreferendum  
0;merkel wohlfeil abruestung mu auf der tagesordnung stehen keine frage  war ihre ini fuer abruestung  ihre nato beschliet heute aufruestung
0;wenn das bka seit jahren deutsche journalisten beobachtet  fragt man sich  auch kommunikation ueberwacht wird g20 
0; zagreb traf  auch ministerpraesidenten der republik kroatien   
0;heute    uhr bei    einem tisch mit    deutschland fragt nach   btw17
0;jetzt ist  auf der buehne  gleich kommt martin  spd hhbue 
0;wolf wetzel der nsu vs komplex aus sicht polizeilicher ermittlungsmethoden 
0;unser regierungsprogramm ist  gebaerdensprache erschienen  ansehen   fedidwgugl 
0;dienstgespraech     
0;ich frage lieber gar nicht   was  genau geht 
0;brandenburg gate  berlin  tonight         00a0   00bc     00b7   00ac     00a0   00bc     00b7   00a7  
0;auf dem weg ins wochenende    kilometer mit dem nike     run club gelaufen  running lokstedt kollau niendorf 
0; geht voran  die neue website ist online     noch nicht ganz fertig  aber fast  
0;  und  bis dabei      009f       
0;spd  fdp und gruene  rlp draengen noch einmal auf kommunale mittelrheinbruecke   blockade durch landrat broehr  cdu  beklagt
0;heute unterwegs  nrw  straenwahlkampf  remscheid und  jahre sommerfest der linken  aachen  
0;hat sich ein politiker schon mal von  begleiten lassen      009f        finde ich gut       009f      008d     009f      009d btw17 fdp
0;fdp praesentiert ihr wahlprogramm fuer die bundestagswahl  
0;auf nach bad sassendorf  dort stellt  heute die liste fuer btw17 auf  top personalangebot fuer starke nrw stimmen  berlin  cdu
0;  mio  euro jaehrlich fuer neues foerderprogramm  investitionspakt fuer soziale integration  quartier steht bereit 
0;unionbusting bei  sec  aufruf zur solidaritaet vor gericht     arbeitsunrecht naujoks 
0;lebendige debatte zum lutherjahr  landtag mit  von   ganze rede  
0;beim sommerfest des dgb baden  wuerttemberg ist die spd aus bund und land selbstverstaendlich anwesenden     009f        
0;jetzt auf dem weg zur personalversammlung bei derstaatsanwaltschaft  wichtige themen  personalverstaerkungsicherheitbeigericht
0; unterschriften gegen die kreisreform vibb
0;das ist bezeichnend   spricht fuer sich  
0;bei liverpool fallen einem  fast  nur die  beatles ein   diesem sinne  ein getting better ins brexit land  
0;   nur echt mit raute    
0;ich habe mich entschieden  btwahl2017 
0; anna christmann unsere bundestagskandidatin  wahlkreis   
0; geniesse gerade all die antworten 
0;dieses wochenende muenchner sicherheitskonferenz   jetzt findet die eroeffnung statt  msc2017
0;mit ansage  
0;die spd geht  die opposition  thema heute beim rtl lokal   mannheim  
0;zur zeit tanke ich kraft bei   bleibe aber fuer sie erreichbar    amp    amp  natuerlich hier
0;      fornet17 mit   louisa specht  walter blocher und schirmherrin  
0;heute ist der tag gegen laerm  ich fordere ein nachtflugverbot von  bis  uhr  
0;wundertasse  ideal fuer mich und  
0;groes interesse  landwirtschaftlichen produkten landwirtschaft 
0;mein portraet ueber angela merkel  weiter    die kanzlerin will  noch einmal wissen 
0;arbeitskreis kagenmarkt     009f      008d     009f      008a  vorbereitung der praeventionsveranstaltung        uhr  der tarnow schule
0;nrw signal eindeutig  schwarz gelb            fe0f  linkes lager  rrg        
0; ist normales verfahren  weit  auch  etat wird nach wahl  geaendert  bund und laender muessen sich zudem noch einigen 
0; schlieen auch keine praxen  gegenden ohne privatpatienten   
0;ich habe ein wenig das gefuehl  einige journalisten waren  wochenende auf einem anderen parteitag als ich  linkebpt
0;    zweitstimme gruen ich sag euch warum     009f       
0;kleine pause fuer einen winterspaziergang     009f           009f   008c   00a4      fe0f  
0;kontrollierte freigabe  linken politiker fuer erlaubnis von pyrotechnik  stadien   mdr  
0;noch einen text zum kaffe  dann diesen hier von alexander osang   
0;inzwischen ziehen auch spd und gruene haltelinien fuer regierungsbeteiligungen  war  mal wieder trendsetterin  spdbpt
0;tillich war also  thronfolge von koenig kurt nie vorgesehen   sollte seine thronfolgerliste veroeffentlichen
0;warten mit  auf das ergebnis der bundespraesidentenwahl meinpraesident steinmeier 
0;btw afdnrw liste platz   udo hemmelgarn und platz  uwe kamann  afd lwv essen lpt   plaetze war ein erfolgreiches wochenende     009f           009f      008d 
0;    rot gruen wird reihenweise abgewaehlt  ltwsh17 
0;sagt jemand  der seit jahren die privilegien von milliardaeren verteidigt erbschaftsteuer csu 
0;  sie bewegt sich aber gerade nicht auf uns  sondern auf die csu  
0;keine verlegung der bundeswehr von erdogan  tuerkei  die naechste despotie jordanien  abzug jetzt  incirlik  
0;gruene fordern eine milliarde euro fuer dieselgeplagte staedte  darumgruen
0;  kolumne zeigt wie journalisten  den usa bei pressekonferenzen mit  arbeiten  pressefreiheit
0;ach nee  das interview war letztes jahr    konnte man  schon taktisch zigmal die meinung aendern     00a0   00be     00b4     
0;eilmeldung  tusk als  ratspraesident wiedergewaehlt 
0; adenauer recht hat  hat  recht zeitfuermartin 
0;mit diesen forderungen fasst  zusammen  was uns sozialdemokraten wichtig ist  zeitfuermartin 
0;abgehoben 
0;was bleibt von der bundeswehr nach ursula von der leyen  
0;gespraechsabend  geplanten aenderungen  kommunalverfassungsgesetz  landgasthof zur alten post  ummendorf  sommertour
0;  gibt   mehr gruende  wissen sie auch  sie verteidigen auch ihre ministerpraesidentin trotz ihrer bilanz 
0;video   seit  jahren ist  straenmusiker  berlin  traeumt aber immer noch davon  orchester mitglied  werden     00a0   00bc     00be   00bc 
0;  journalisten haben nen tisch drauen
0; euer faktencheck war eher ein vorurteil  hier die auswirkung auf gesamtstellenzahl faktencheck 
0;berlin  seehof  
0;das ist  noch besser      009f        
0;die keynote zur rbfc17 beim   wortlaut  
0;freue mich auf den besuch  der fhkiel 
0;und wer ist verantwortlich  dobrindt von der csu  sollte der waehler     beachten  
0;jetzt neu  google uebersetzer fuer glueckskekse     00a0   00bd     00b8   00a8  
0;afd   connections  putin  amp    werden immer klarer sfb68nord 
0;lammert  hierzulande kann jeder seine meinung sagen  auslaendische gaeste  wir aber auch 
0;das garantieren wir  
0;   denn sonst     
0;von den wahlberechtigten insgesamt gaben der pis gerade einmal   und der fidesz   ihre stimme  
0;     deshalb ist bayer grosser sponsor des bauerntags fusionmonsanto
0;spannende sache  naechstes jahr ist der iac uebrigens  bremen  
0;nordrhein westfalen  die schwarz gelbe koalition geht mit gebrauchten ideen  den start   mobil   
0;vorbereitung auf den haustuerwahlkampf mit dem digitalen  wahlatlas   stuerzt staendig   wir legen dennoch los      00a0   00bd     00b8   008e 
0;soeben hat der afd bundesparteitag  koeln das wahlprogramm fuer die btw2017 beschlossen    270c   fe0f  
0;    nrwkoalition schwarz gelb will ueber bundesrat  asylpolitik akzente setzen  hoffen wir auf gruendliche kopie des afd programms 
0;eine wichtige einnahmequelle ist der handel mit halal produkten  deutschland sollen jaehrlich mehr als  milliarden euro umgesetzt werden 
0;r2g  berlin stellt sich gegen autobahnprivatisierung  berliner cdu ist dafuer  bundes spd auch   ist nicht egal  wer regiert  agh
0;neu auf twitter  afd  landtag rlp  
0;schleswig holstein  wir haben kompliziert gewaehlt  welches buendnis findet ihr  besten  ltwsh
0;  heute beim hessengipfel der   ich berichte   uhr fuer  
0;erlenbach  michael berninger bleibt buergermeister 
0;die arbeitsmarktpolitik der spd treffend zusammengefasst  
0;weder privatsache noch privatwirtschaft  
0;mit  unterwegs zum plakatieren  kampagne zur btw17 laeuft  
0;meine genossin  hat mit   koalitionsbrille  totalen durchblick   r2g dielinke agh berlin 
0;zusammen waren wir  bundestag  jetzt sind wir beide landesvorsitzende  mit josef winkler  gruene rlp   nierstein 
0;der altar neben dem bierfass  kirche mitten  leben     009f   008d   00bb stuttgart degerloch marktplatzfest 
0;praechtige lilienbluete 
0;auch das gehoert zur bilanz des  jahre cdu  csu gefuehrten bundesinnenministeriums dazu   bundespolizei
0; unbestritten
0;kennt ihr bestimmt schon  quelle unbekannt  grandios  
0;gruene wollen industrieausstieg bis   bdk17 gruene 
0; sind geschafft hallebluehtauf
0;  geht derzeit nur ueber  wir bauen  
0;foto ist aber von      009f      008e  
0;hat gerade ein foto gepostet 
0;die digitalisierung hat  jetzt sogar bis  die spruechekalender geschafft     009f           009f      008d  
0;vollbracht     009f      008d  
0; also platz  von 
0;rede  ltbw macron  der  zentralist   
0;    das emissionsfreie auto kommt  wird  ein chinesisches oder deutsches auto sein  5kampf fuenfkampf
0;auf geht  zum abschlusstreffen der cdu2017 runde mit      braunschweig hauptbahnhof  
0;hammerbrooklyn digitalcampus praesentiert auf dem new mobility day  
0;  vbb   berlin und brandenburg 
0;birgit schoenau ueber francesco totti  langstrecke
0;tja  mehr dazu unter   
0;debatte auf spd antrag zum gymnasium zeigt  minister hat keine antworten  
0;heute fraktionsvorstand  der spree  berlin 
0;aber die muetze des anstreichers ist von einer anderen organisation  
0;   war   erwarten     009f      00a1 
0;richtig  hoffentlich kriegt mittelstand mal mehr als  minuten  zdf  
0;heute buergermeister konferenz  vorpommern greifswald  spannende und sachliche diskussion
0;und enkelinnen      009f   009a   00b2     009f      008a  
0;oder kanzlei des staates statt staatskanzlei  laschetministerien  
0;geschwister scholl schule  politik  amp  wirtschaft   werner von siemens schule   jahrgangsstufe   bmf 
0;unser anspruch als sportnation muss  ende eines jahrzehnts der investitionen  den breiten  und spitzensport die  sein  
0;koennen merkel und macron europa voranbringen  die deutsche kanzlerin empfaengt den franzoesischen praesidenten  
0;trivago analyse  wittenberg wird trend reiseziel 
0;inzwischen ziehen auch spd und gruene haltelinien fuer regierungsbeteiligungen  war  mal wieder trendsetterin  spdbpt
0;investionen  hohen zweistelligen bereich  lewentz macht sich fuer buga  stark 
0;tschetschenien  gruene zwingen bundestag zur befassung 
0;erstaufnahmeeinrichtung  suhl besucht  linke
0;schoener blog ueber digitallinks           009f      008d     009f   009a     
0;filiz polat verabschiedet letzten praktikanten als landtagsabgeordnete  ltnds  bue  
0;groer andrang  lausitzer platz  kinder wuerden  waehlen  erststimmebayram btw17 
0;jugendfoto   
0;hoechst unwahrscheinlich  
0;taekwondo     nordkorea schickt kaempfer nach suedkorea 
0;wird  immer besser  aber der geht noch mehr und immer noch  viel gruen 
0;martin schulz zur maut beim tvduell  zeitfuermartin btw17 martinmachts 
0;als kleine erinnerung    fedidwgugl 
0;sonntag  auf nach dortmund   kreissteinfurt 
0;das waere auch mal faellig  landkreis greiz    
0;wir denken  deniz  gerade jetzt  freedeniz tuerkeireferendum 
0;projekt   planfeststellungsantrag fuer abschnitt  eingereicht  rahlstedt ahrensburg bargteheide hvv
0;   und jutta niemann von   besuch bei ebmpapst 
0;    sie sind auch widder   und ein frueher dazu  habe mal handstatistik    widder staatslenker gemacht  sehr beachtlich
0;baut haeuser fuer die spatzen weltspatzentag
0;ich suche jemanden  der sich mit mir   baden baden  kino anguckt  der mann traut sich nicht followerpower
0;solikonzert kiezladen duncker 14abschied jens oliva 
0;  deiner schulzeit auch  ich warte  auf die rueckkehr des kreisels 
0; sitzung   geht  die frage   der sprecher fuer sportpolitik einen ersten aufschlag macht  agh 
0;heute mit probaten methoden gegen anfaelligkeit bei ecken hahohe  d98bsc 
0; noe  nur erfahrungen  astrologie sieht gute  weniger gute kombinationen  schauen sie selber nach  widder mann fisch mann
0;buergersprechstunde  heppenheim  monatlich direkte ansprache durch die buerger  wahlkreis
0;die thueringer strafvollzugskommission ist heute  der jva hohenleuben  start
0;retweeted agnes witte    fedidwgugl   hat die  versucht  einen haschtag   rauchen 
0;einzug  den bundestag retrotweet  
0;heies gespraech bei noch heieren temperaturen      klamroths konter auf ntv 
0;wenn wir shoppen  schrumpft hoffentlich nur der geldbeutel   anderen kulturkreisen sieht man das anders 
0;afd light  die neue fdp  
0;die glorreichen acht      009f   009a     ltnrw17 
0;fuer stralauer und solche die  werden wollen       sichtungstraining wirsindstralau xhain
0;bkin merkel bei  ue braunkohle  wir duerfen die menschen nicht verunsichern    
0; fuers nicki das   hattest  nicht fuers wort   
0;  gerne werde ich ihnen die erklaerungen der  und meine interviews zusammenstellen und senden 
0;ich kann mich des verdachts nicht erwehren  dass heute  laengere ausschusssitzung bevorsteht sieht nach haeppchen aus 
0;  ich hatte das nicht gefordert  sondern eine ausgangsfrage gestellt  herr genosse 
0;  statssekretaer fuer arbeit und soziales berlin linke  
0;bin gespannt  was rauskommt  hoffentlich keine neuen patient innen  
0; die bundesrepublik deutschland als wehrhafte demokratie wird sich weiter wirksam ihrer verfassungsfeinde erwehren koennen   bverfg npd
0;euprojekttag  wie steht   europa  pst  besucht roman herzog schule  brilon 
0;heute ist unser spd  bundestagsabgeordneter und kandidat juergen coe  emsdetten unterwegs
0;deutschland vor und auch nach der wahl noch  wohlfuehl modus  btw17 btw2017 merkelwegpfeifen merkelmussweg 
0;speakers corner    ist heute  gast  bonn 
0;die regierungserklaerung von bkin angela merkel zum g20 gipfel jetzt live  bundestags    
0;ausschreibung des deutschen jugendfilmpreises  hat begonnen  
0;wer wird die kinder gebaeren  
0;auslaender arbeiten zahlen steuern und spielen fuball hier  aber warum duerfen nur die deutschen waehlen 
0; bin schon 
0;diskutiere heute abend  runde zur btw17 politik medien  
0;wie lautet euer urteil  macron  was schlagt ihr fuer die zukunft der eu vor  
0;definiere deutsch englisches fussballspiel  laufen dem ball hinterher und  ende gewinnt deutschland durch elfmeterschieen    009f       u21euros
0;auf dem weg zum luthergarten  wittenberg polizei luther reformation 
0;  geht nicht  packung ist  berlin geblieben und ich bin  nrw 
0;noch       
0; sind denn eigentlich die namentlichen abstimmungen aus dem landtag nrw bei  hin hier sind sie 
0;unterwegs mit  franz josef jung   zdfmediathek 
0;kohlessen mit der spd eversten  gruenkohl natuerlich  
0;karl holmeier bleibt chef der kreis csu 
0;martin schulz ist jetzt schon  erfolgreich viele eltern raten ihren kindern kein abitur  machen  schulzfacts
0;womit man  seinen sonntag verbringen kann  mainz05 mitgliederversammlung wahlenwahlenwahlen 
0;letzte woche gab  den bericht der partei heute der  zur mitgliederentwicklung  aktuell  menschen   basisgruppen aktiv 
0;trends des tages  schaeuble baendigt die afdimbundestag und  macht auf bedingungsloses grundeinkommen
0;nach der wahl  angesichts der klaren mehrheitsverhaeltnisse stehen wir fuer eine groe koalition nicht zur verfuegung 
0;nahles  wir sorgen  der opposition dafuer dass alle themen auch europ  mitgedacht werden 
0;zum ausgang der btw17 und den berliner wahlergebnissen  
0;regiotour besuch bei familie kellers lehrbienenstand  kirn 
0;    zum einkommenssteuerkonzept seiner partei  linkebpt 
0;die kundgebung mit  jetzt   livestream   postnachberlin  tap 
0;pressemitteilung  der bundesanwaltschaft vom    
0;liebe afd  wer ist deutscher  ein blick ins grundgesetz kann  hilfreich sein  
0;helft mit das riedbergerhorn vor dem liftfrevel  schuetzen  helft mit unsere einmalige bergwelt  bewahren  
0;sorgt dafuer dass diese bilder auch  die welt gehen g20 
0; tipp fuer heute   uhr  sommerinterview merkel berlindirekt zdf cdu fedidwgugl 
0;afd wahlwerbespot zur btw17  btw2017 tvduell traudichdeutschland     htt
0;heute kabinettsbeschluss   prozent des landeswaldes werden mit genauen flaechenangaben  naturwald erfolg naturschutz wald gruene
0;wir haben grade ein livevideo zum tagderdeutscheneinheit aufgenommen   waren wir wohl afd   27a1   fe0f 
0;anzeigen  internet treffen auch nicht immer die richtige zielgruppe     
0;auf dem weg    boeblingen noch eine woche  platz  ist drin fuer klimaschutz buergerrechte klarer kante gegen afd darumgruen
0;buergerdemo  raguhn mit kay uweziegler 
0;monatstrend cdu csu     bauen vorsprung auf spd      wieder aus   btw17 so
0;vorschlag zur guete  statt dem kreuz kommt jetzt das ost logo aufs stadtschloss und alle sind zufrieden  
0;wer bauscht hier eigentlich was auf  
0; und von oben  
0;budget und personal der einzelnen senatsressorts  berlin  ueberblick  r2g 
0;wir sind   aber was waeren wir ohne unsere mitglieder  seit  jahren seid ihr die partei  euch gehoert dieser film  
0;trump kann doch seine handynummer twittern    
0;jetzt spricht  schaut rein  den stream bei spd   megalistebw
0;vlog      langfassung zum frankfurter haushalt 
0;die medien spielen vom tag der gruendung  mit  unterschiedlichen varianten traudichdeutschland waehle afd
0;ein schoenes portrait ueber soeren pellmann der  schwarzen sachsen ein linkes direktmandat geholt hat  
0; haben gewerkschafterinnen gewaehlt 
0;forschung  uke wissenschaftler schicken stammzellen zur raumstation  
0;nur konsequent  einen gruenen statt eines afdlers als   landtagsvize  nrw  waehlen  machen wir 
0;rede fuer die aktuelle stunde morgen schreiben  noch ordentlich was  tun  buero tomiak  worklifebalance 
0;mein musiktipp fuer euch  drauen  digitalen orbit ist von stephan sulke   schnulzensingender poet
0;  wir planen pankow und die welt  eintreten mitmachen 
0;den aufruf und die unterschriftenlisten sind auch  linken laden leitergasse  erhaeltlich  
0;bei  enthaltungen lasttweet
1;sehr schoenes signal   ist sicher einer der schoensten hochzeitsfeier orte  hessen 
1;  herzlichen glueckwunsch zum mandat  viel erfolg 
1;guten morgen  viel spa  freude und ein laecheln     00a0   00bd     00b8        00a0   00bd     00b8        00a0   00bd     00b8    
1;kleine verbraucherinformation insbesondere hier     und dort  danke 
1;gute fahrt und bis heute abend  
1;luebecker synagoge  die finanzierung der sanierungsarbeiten scheint nach vielem hin und her jetzt zum glueck gesichert  ich freue mich  
1;  begruet alle und stellt fest  das plenum sieht toll aus   bunt  vielfaeltig  amp  vor allem weiblich   kann  gerne immer sein 
1;herzlichen glueckwunsch  und jetzt alle kraefte fuer gute       009f           009f      00aa  
1;ich gratuliere schon mal jetzt  das ding ist  sicher  bvb     
1;gut zusammengefasst  ich denke  ein faktencheck wird sie zusaetzlich  vielen punkten auf den boden der tatsachen 
1;danke  fuer das bild 
1;und sich fuer eine sozial gerechte gesundheitsversorgung einsetzt  deinestimme mechthilddirekt btw17 spd
1;   wir freuen uns auf deine besuche heute  bis gleich 
1;herzliche einladung  alle interessierten  
1;bester mann      fe0f noib b1706 
1;schoenen sonntag allerseits  schulzzug   
1;bildung statt waffen  
1; jahre tschechow theater mahe  herzlichen glueckwunsch auch von   
1;guten morgen      00a0   00bc     00bc   00a4     00a0   00bc     00bc   00b7     00a0   00bd     00b8     heute zum infostand  neviges  buero  velbert  ministerin nahles heiligenhaus und sportlerehrung  erkrath  nrwir
1;alles gute zum geburtstag  liebe malu dreyer  danke  dass  bist  wie  bist  eine super ministerpraesidentin  ein wunderbarer mensch     00a0   00bd     00b8   008a     00a0   00bd     00b2        00a0   00bc     00be    
1;hat spa gemacht gestern bei whatsnext      digitalisierung 
1;guten morgen     
1;deutscher fussballmeister  fcbayern mia5anmia 
1;viel lob von  fuer die  heute  abendblatt  weiter        
1;ich sage  danke   afd btw btw17 btw2017
1;ein lieber freund und genosse geht  rente   jahre einsatz fuer solidaritaet fuer gerechtigkeit und frieden  die spd  sagt danke 
1;die ehefueralle wurde soeben mit    beschlossen  das zeigt auch  was ein mitte links buendnis bewegen kann      00a0   00bc     00bc     r2g
1;zum ersten mal steht eine frau  der spitze der   herzlichen glueckwunsch  andrea nahles 
1;lieber herr gauck  sie waren   lang unser aller praesident  sie haben  groartig repraesentiert  danke fuer eine wunderbare zeit alles gute 
1; glueckwuensche und von herzen alles gute fuer euch zwei 
1;ohne buecher waere ich heute nicht der  der ich bin   ist gewaltig  wie viel kraft zwischen zwei buchdeckeln steckt  tagderbuchliebhaber
1;zukunft wird aus mut gemacht      009f      008c        009f   00a6   008a     009f      00aa  
1;guten tag aus rostock vom landeparteitag der   herzlichen glueckwunsch erwinsellering zur wiederwahl  
1;freue mich  dass sich  viele vereine mannschaften  unserer organspende aktion mit dem bayerischer fuball verband    beteiligen 
1; vielen dank  
1;gute  amp  richtige entscheidung der fdp  danke      00a0   00bd     00b1   008d  
1;hierfuer liebe ich claudia  
1;guten morgen  nach einem wunderbaren sonntag mit einer groen familienfeier geht  jetzt nach berlin 
1;  glueckwunsch euch beiden  gut fuer wuppertal gut fuer gruene
1;nicht nur beim platzausbau  sondern auch beim personalschluessel geht  voran  gut  fuer die kinder und familien  
1;zusammenhalt  wohlstand und sicherheit   das macht fuer angela merkel fedidwgugl aus  sommerinterview
1;geschafft   stimmen fuer ehefueralle und   nicht alle wollen heiraten  aber alle  die  wollen  sollen  auch duerfen   
1;herzlichen glueckwunsch und gutes gelingen unserer neuen doppelspitze mit  und  
1;herzlichen glueckwunsch  unsere beiden direkt gewaehlten bundestagsabgeordneten patricia lips und bjoern simon  
1;einen guten start  die woche euch allen  auf  neuen taten  afdberlin
1;einhundertprozentige zustimmung  
1;herzlichen glueckwunsch und viel erfolg  
1;ich freue mich dass ich meinen wahlkreis wieder  bundestag vertreten darf und auf die zusammenarbeit mit den kol
1;ich freue mich auf das neue amt und das groe vertrauen meiner kolleginnen und kollegen      009f      008a  
1;der mutige bundespraesident zur richtigen zeit  
1;gute aktion  bin dabei 
1;super fuer nrw  projekt schule ohne rassismus wird weitergefuehrt und ausgeweitet  danke    via 
1;gute besserung allen  
1;ihr habt euch lange auf eure pruefungen vorbereitet  heute geht  los und wir wuenschen euch viel erfolg 
1;schon zum   mal verwandeln meckesheimer vereine die bahnhofstrae  ein straenfest  ganz starke leistung 
1; glueckwunsch  quasi ein sieg   
1;spd wird fuer toleranz respekt und gemeinsinn kaempfen  mit weniger prozent als erhofft  aber entschlossen gegen die neuen rechten 
1;korso  amp kundgebung werden zusammengefuehrt  daher beginn kundgebung    uhr vor der tuerkischen botschaft  freedeniz  freedomforpress
1;danke fuer das spannende gespraeche generationzkanndochwas 
1;mein dank gilt allen polizistinnen und polizisten besonders denen aus nrw die bei g20hamburg freiheit  sicherheit schuetzen 
1;herzlichen glueckwunsch   zur berufung als neue integrationsbeauftragte  
1;ich hoffe das bleibt auch weiter   christlich juedische kultur bleibt fuer unser land bestimmend merkel btw2017 
