Column1;Column2;Column3;Column4
426;888672245815672832;-1;die tuerkischstaemmigen menschen  deutschland gehoeren  uns 
26;895585220749144064;-1;wieder ramelueringen  unsoziale linken politik  afd
49;917916346809233408;-1;austrittswelle  der afd laufen die mandatstraeger davon  
163;915957638290137088;-1;dicke sprueche  aber keine vorschlaege machen 
166;834407411951734784;-1;prioritaeten richtig setzen  spielraum fuer milliarden mehrausgaben  militaer anstatt  bildung  gesundheit  schaeuble
167;837660137611530240;-1;menschen nach afghanistan abzuschieben ist weder erklaer  noch verantwortbar    beginn des fachgespraechs nichtsicher
177;826718221206183936;-1;besuch der baustelle des aerztehauses  heppenheim  weiteres element der gesundheitsversorgung
181;868113194132418560;-1;donald trump ist nicht  der lage zur fuehrung der nato  sagt cdu politiker roettgen   
183;870600748685570048;-1;also pittsburgh und paris statt oder  
184;892868484987850752;-1;   warnungen des deutschen richterbunds und der polizei gewerkschaft muessen alarmsignal sein 
185;914417991697276928;-1;spanische polizei setzt gummigeschosse ein      katalonien nicht erlaubt  referendum 
764;909120204667523072;-1;warum waehlen eigentlich menschen merkel  die abschiebungen nach afghanistan und ruestungsexporte  die tuerkei und saudi arabien gut findet
765;827065708743901184;-1;zuwanderung  bundesregierung haelt   migranten jaehrlich fuer moeglichjetzt soll der zustrom illegaler    
780;903499904152207360;-1;   september  begann mit dem deutschen ueberfall auf polen der zweite weltkrieg   mio  tote  sechs jahren  
792;845185857606762496;-1;ideenlos und ausgebrannt  cduumfrage   prozent der deutschen wollen keine unionsgefuehrte regierung 
796;885829096441303040;-1;der g20 gipfel ist vorbei  die konsequenzen werden die menschen erst  spueren bekommen fuer dieses video sollte    
806;908613822063276032;-1;krass  dieser hessische nsu untersuchungsausschuss  hlt
830;863029528486174720;-1;neben guten kontroversen gespraechen gab  heut auch aerger bei den gespraechen  dresden  erst poepeln nazis  dann beschaedigen sie unser auto
831;899997282489307136;-1;algenbluete  der bretagne schlimm wie lange nicht   duengung  der landwirtschaft als ursache 
832;824300039300382720;-1;nennt sich dann zombie 
837;883718602691629056;-1;niemand ist links  wer  barbarisch gewalt ausuebt  linke sind emanzipatorisch respektvoll friedliebend gewaltfrei diskussionsfreudig g20hh
848;869140717645508608;-1;facebook wehrt sich gegen den zensurminister  
859;866919769185951744;-1;wie nur umgehen mit dem mitgebrachten judenhass  
862;856062858588807168;-1;eine schrecklich anstaendige partei  armin paul hampel gebaerdet sich zunehmend als chef intrigant der afd   
880;861266843272708096;-1;der schulzeffekt ist ein minus effekt  ltwsh
901;911197178261131264;-1;ich stimme   nicht  oft   aber   recht hat     merkel  
914;888633284359581696;-1;schulen warten vergebens auf geld fuer die digitalisierungbund bleibt laendern  milliarden euro fuer wlan und    
923;880872767830315008;-1;voellig unbezahlbar  rentenplaene der spd kosten rund  milliarden euro  via 
971;876000873574486016;-1;landwirtschaft  koalitionsvertrag  nrw voller widersprueche 
1000;912926825445302272;-1;mieter  kampf gegen mietpreitreiberei und unvernunft der kommunalen gewobag 
1;854982713014714368;1;schoener termin mit dem leipziger start  innovailably  angebot und nachfrage auf dem arbeitsmarkt kreativ    
19;831796814676369408;1;schoenen valentinstag  mach deiner oder deinem liebsten eine freude und schick ihr diesen link     
22;909725537437933568;1;fuer ein deutschland   dem jeder alles werden kann  fedidwgugl 
34;859775020762935296;1;herzliche einladung zur veranstaltung mit wolfgang schaeuble  
36;917448981625569280;1;ich freue mich riesig  dass nun die jungen liberalen  rems murr kreis wieder reaktiviert wurden  glueckwunsch     
54;880689360101920768;1; ist geschafft  ein groer tag  
56;853607612595785728;1;  viel schpass und liebe gruee   birgit 
63;895678625206456320;1;das ist  schoen  das muss man dreimal lesen  
64;873850281397760000;1;eine flammende rede gegen das zusammengehen mit der wahlalternative    blicken zurueck  
74;904970090541658112;1;fuer ein liebens  und lebenswertes berlin mitte  mutlufuermitte mutludirekt btw17  
78;862550765637955584;1;guter mann  dieser   nrw ltw 
87;903138984217456640;1;aufklaerung zum  natuerlich auch hier  
90;906547441201303552;1; besonders schoen ist auch der  stundenplan        
95;852933216994459648;1;trump absetzen   welch wunderbarer gedanke  
101;840565388215754752;1;     viele spannende sachen hat sie  erzaehlt    gruee   alias team lindner
102;880778811293528064;1;danke liebe schueler innen des hertz gymnasium fuer spannende debatte und die schoenen blumen rigaer friedrichshain 
107;824230206718308352;1;  wir wollen die wahl gewinnen   das leben der menschen besser  machen  btw2017 
112;825007295323070464;1;ich freue mich auf die erste frau  der spitze des wirtschaftsministerium  
114;840484595275563008;1;plaedoyer  donald trump sollte edward snowden begnadigen  julian assange ziehen lassen und geheimdienste zuegeln  
115;912049411466956800;1;superstarker sieg     
139;835877068483227648;1;viele gruee aus hamburg  
152;877616068562264064;1;glueckwunsch  bester preis fuer rummsitzen und immer noch spaesken machen  
190;912982045038714880;1;wahlergebnisse sind kein wunschkonzert  eine jamaika koalition kann eine groe chance fuer unser land sein  
191;904731373935763456;1;   hier gut erklaert 
201;863815520860209152;1;wer ist heute abend mit weitem abstand der gluecklichste sozialdemokrat  deutschland siegmar gabriel natuerlich  wer denn sonst  
228;860909417667203072;1; jahre rollisegler   herzlichen glueckwunsch     
231;861209525541588992;1;herzlichen glueckwunsch        
236;840672252496629760;1; danke
268;850025869775167488;1;soziale gerechtigkeit bekommen wir alleine hin  die linke brauchen wir dazu nicht   sagt die spd  selten  gelacht  ltmv
269;844520443382054912;1;lasst uns bewahren  was gelungen ist  diesem land  eindrucksvolle  ueberparteiliche rede unseres neuen bundespraesidenten  alles gute 
272;857296121902878720;1;nette menschen hier derdcp17 dcp 
274;917288649762406400;1;  danke gleichfalls 
278;863332014619066368;1;gratuliere   physik  chinesisch  mathe   jaehriger bekommt uni anschluss    
287;878668391078387712;1;ein tolles buero hat der    herzlichen glueckwunsch   
296;865927751437602816;1;daumen druecken  nurderhsv 
300;905506330869411840;1;bayern gibt rechtsgutachten zur ehe fuer alle  auftrag 
301;910000563521310720;1;guten morgen  jetzt erstmal einen  und dann los 
311;864871400053592064;1;lieb doch  wen  willst  fuer toleranz  gegen homophobie  idahot fcsp 
312;885176687742398464;1;oeffentliche belobigung von herrn kranert heute  der bvvxhain 
322;914227952841297920;1;herzlichen glueckwunsch  ein toller aufsteiger 
323;865201844624216064;1;wir wollen eine vorschulpflicht einfuehren   chancengleichheit bei der bildung  foerdern   agh
334;884460079554146304;1;mobile polizeiwache fuer altstadt spandau und heerstrae nord  
335;897402201508892672;1;mut sollte auch heute trenden    braucht veraenderung change     
357;835855996316758016;1; hoffentlich bald 
370;856153634287099904;1;fdp weiter  aufwind   nrw jetzt bei     super  wahl ist bald  umfragen gut und unser spot der coolste  
387;918487687899893760;1; klare linie  wir sind wehrhaft und das muessen alle wissen 
389;917284566146088960;1;das wird  lustig  hole mir popcorn  gruene lehnen fluechtlingskompromiss der union  
408;881794802983071744;1;sorgen wir dafuer  da  deutschland weiter gut gehen kann  
418;845661807884861440;1; lichen glueckwunsch  lisa paus      unserem   listenplatz lmv17 auf ein super ergebnis bei der btw17  
420;864876465585881088;1;meine bundestagsabgeordnete twittert jetzt  willkommen  club  
421;821640612499902464;1; kampfgeist durch rueckzug und aufgabe  sicher nicht  ich kaempfe dort   ich etwas verbessern will  aktiv 
424;830676216378249216;1; vielen lieben dank stefan  bestimmt 
425;905065918304321536;1; groartig reden  bundestag  warum gruen darumgruen     
35;908577120498089984;1;wenn  nach uns geht  duerfte man heute schon   waehlen  gleichwohl viel spa und spannung bei der u18wahl  darumgruen btw17
169;856950801931137024;1;sehr schoener artikel heute  der  glauchau zum besuch des ministerpraesidenten  virchow klinikum   
188;908357293166809088;1;eindrucksvolles statement zum beginn tagdercaritas  limburg  
759;836582090275700736;1;frauen  der kultur   brauchen wir eine quote   mit       
761;918058056981864448;1;hwwi rohstoffpreisindex mit staerkstem zuwachs seit jahresbeginn   
762;906444449101873152;1;whlkmpf2k17 ist  wenn sich der groartige   von  einen witz erzaehlen laesst  
766;913675706315534336;1;und nun   chinaentscheidet sich fuer  autos   und die welt wird folgenjamaika  
767;855776902828707840;1;unser gruenes herz steht  koeln2204 herzstatthetze 
787;902230513078988800;1;sehr gut  ich begruee das urteil zum g20 gipfel  hamburg      
788;899246529348849664;1;wahlkampfauftakt und sommerfest der cdu mit  chef ingo senftleben und jan redmann mdl 
791;865823319383257088;1;traumschoen  
795;880686012959256576;1;glueckwunsch deutschland  jetzt ist recht  danke  den unermuedlichen  ehefueralle
804;845044493762150400;1;  ich will die junge generation dafuer begeistern hier mitzumachen  integration erdogan tuerkei illner
809;820369492459089920;1;kinder sind unsere zukunft  aber sie haben  wenig rechte  kinderrechte muessen  grundgesetz verankert werden  
816;911301212334673920;1;glueckwunsch handelsverband     lebendige innenstaedte brauchen aktiven einzelhandel   
828;887596506303389696;1;ich wuensche allen schuelern schoene sommerferien  fuer schulsenator  habe ich ein extra zeugnis    
854;894551328831283200;1;eine gute aktion   den hass sichtbar machen statt wegzuschauen   heytwitter 
871;832305524137934848;1;  zusammengefasst    danke auch   fuer die super zusammenarbeit beim antrag fuer fairewaerme
909;897354352880431104;1;wir spielen die gerechtigkeitskarte  und zeigen darin  gute gruende fuer eine starke  
911;843377534213505024;1;wir gedenken dem ehemaligen auenminister guido westerwelle  der heute vor einem jahr viel  frueh von uns ging  
915;830800903418609664;1;rotkaepchen und der boese wolf    tolle zeit  fasnet   fuer ina  schultz 
918;865604104378351616;1;windkraft macht den strom billig      kwh bei ausschreibung  und erstaunlich viele buergerenergie gesellschaften 
928;865519846284419072;1;ehefueralle    ist wirklich zeit      
929;890313148787503104;1;wir haben  den letzten  jahren viel erreicht  unser land steht gut   ein filmischer rueckblick zeigt highlights  
976;891557837326962688;1;einigkeit und freundschaft  der cdu    
979;890471755864846336;1;guten morgen  seit heute  follower   die sich fuer tweet  aus meinem wahlkreis dorsten gladbeck und landespolitik nrw interessieren 
986;917475035119579136;1; welch  gar schoener schlusspunkt der lieblichen debatte    
996;832998212025868288;1;  werbung ist immer gut  danke 
2;836878761366859776;;wer unsere heimat nicht versteht darf auch keine verantwortung fuer unser land uebernehmen  alexander dobrindt ueber schulz csuam2017
3;912281666680324096;;geisel sagt  innen   dass  kein serverproblem  btw17 gab  aber verzoegerte eingabe und fehler bei  system waren nicht optimal 
4;897041329833824256;;richtig  die frage ist doch  weshalb viele bundeslaender diesen unsinn ueberhaupt eingefuehrt haben  
5;833941458440818688;; gar keine frage   ist fuenf nach zwoelf   
6;827089210473578496;;deutsche ruestungsexportebrandbeschleuniger fuer konfliktgebiete 
7;877239191704190976;;damit ein arbeitnehmer   euro netto hat  muss ein arbeitgeber   euro  monat aufwenden  
9;846763324247298048;;dazu der kommentar    warum ein frueheres ausstiegsdatum  muc  auch oekologisch  nicht sinnvoll ist 
10;869892700442636288;;studierenden  die von bafoeg leben  fehlen bis   euro     monat      
12;915196040495628288;;letzte vorbereitungen bei mainzfeiert   jetzt gehts auf die buehne  tdde2017 
13;890333528222826496;;die westpresse  aus zuerich  ist entsetzt ueber die streichung von finisgermania von der spiegel bestsellerliste  
14;844213221116579840;;seit  jahren wird ftt verhandelt und verschleppt  wir brauchen endlich eine politische einigung fts  
15;854981779400294400;;sehr gut  petr bystron  verfassungsschutz beobachtet bayerischen afd chef  gaebe  noch ein paar mehr auch   
16;902367372195110912;;richters mannheims     holzwegprinzip der ehe sei kein bestandteil der freiheitlichen demokratischen grundordnung
18;838348649876844544;;kanzlerin blockiert gleichstellung von lesben und schwulen seit      reicht  ehefueralle 
20;916598914937229312;;ich wuensche allen einen schoenen lptsh   ich kann leider nicht dabei sein  fuer mich gehts heute nach daenemark  familie und  
21;875781529401741312;;  wir wollen kein ceta  das werden wir stoppen  bdk17
23;908215018738593792;;und fuer freedeniz eine alte kolumne ueber meinen oertlichen holzmindener cdu gegenkandidaten  pressefreiheit
24;860172901340897280;;stimmenthaltung beim rundfunkstaatsvertrag des deutschlandradios  wieder drei religioese organisationen  hoerfunkrat aber keine saekularen 
25;868581512089939968;;weiter     
27;838484642453983232;;   tja   wenn   details geht   schulz  nahles  gabriel    egal  
28;868410433094520832;;  september jeannette auricht afd marzahn hellersdorf  den bundestag btw17 mahe afdberlin 
29;885614120774631424;;heute habe ich mit der neu gegruendeten bezirkgruppe  mitte ueber den wahlkampf geredet   gruenen   weltaendern 
30;857238168910925824;;muellers luftnummern gehen weiter  schoene worte koennen nicht ueber seine katastrophale politik hinwegtaeuschen  linke
31;894297306459234304;;hallo  stoppt betaetigung von    deutschland  solidaritaet mit israel gegen den terror  
32;837600204257968128;;habe mit der wochenzeitung dasparlament zur tuerkischen verfassungsreform gesprochen  das ist eine rote linie 
37;855393542302257152;;heute  uhr  der steiger kommt    bin  gast  neumuenster   ltwsh afd ltwnrw17    
38;874262434088931328;;oliver reese will  bei social media verankern  ich glaube   brecht haette ein stueck als app geschrieben  kultura agh
39;884013298915708928;;viele neue erkenntnisse und begegnungen dir   und komm gut wieder  
40;842324913058926592;;gemeinsam gegen krebs  deutsche  amp   krebsforscher trafen sich mit    workshop  washington 
41;867003411404922880;;dynamisches trio  meine kolleginnen elke breitenbach und dilek kolat bei der heutigen gemeinsamen sitzung von    
42;873862602153226240;; bei der strafverschaerfung fuer wohnungseinbruch auf ein jahr haben sie gesagt  hoehere strafen dafuer seien indiskutabel 
43;904381614532296704;; bleibt die glotze halt aus  alles schon erledigt ergebnis steht auch fest  afd huetter 
44;901030520926212096;;persoenliche pflegemanager unterstuetzen angehoerige als kompetente ansprechpartner vor ort bei der organisation der pflege
45;895590714335256576;;landesregierung unterstuetzt wachstum des schuldenbergs   zahlreiche nrw kommunen  der schuldenfalle    
46;888702235521232896;;uebrigens auch neben ehefueralle eine sehr passende botschaft zum csdberlin  allen teilnehmerinnen und teilnehmern heute viel spa  csd
47;880017054136492032;;haushaltsausschuss  warte gespannt   groko doch noch kampfdrohnen leasen will  hat gerade etwas von basaratmosphaere auf den fluren   
48;826919895749234688;;wenn das thema gewechselt wurde  kann herr fischer  jetzt auch die sendung verlassen  maischberger
50;913073963772862464;;berlin bundesverfassungsgericht  gegen die  massentierhaltung  danke  senator   gruene     
51;872355677959835648;;kaserne pfullendorf  staatsanwalt stellt ursula von der leyen blo    bundeswehr justiz  
52;902427468338003968;;wir haben mit katrin  ueber fluechtlingspolitik und lgbt  rechte gesprochen 
55;910761437081096192;;gute einstellung  btw17 erding projekt absolute mehrheit 
58;870575590960660480;;ich denke frau illner sollte sich ihre gez kohle  den usa abholen  deutsche themen interessieren sie nicht mehr  nur noch trump afd
59;910187351955185664;;grundeinkommen ist bei uns gruenen waehlbar  btw17 bge 
60;845181345751973888;;  kreisreform stoppen vibb  die antwort auf die frage was spart die kreisreform  ist ganz einfach  gar    
61;914489448477417472;;die meisten von der fas befragten csu ortsvorsitzenden lehnen obergrenze   
62;879421644225249280;;diese konzerte erwarten euch  juli  wittenberg  
65;904765820911407104;;dieselgipfel waelzt versagen der bureg auf kommunen   kein steuergeld fuer die fehler der autohersteller  
66;819669113081659392;;auf der klausurtagung der  spricht  klartext  und sagt  was viele denken  trump spd 
68;880732850500366336;;  ganz  gegenteil   zeigt  dass wir thema ernst nehmen und mit uns ringen   mit unterschiedlichem ergebnis
69;859491152030044160;;beim kreisparteitag der  ist  soeben mit  prozent als vorsitzender wiedergewaehlt worden  
70;862742701162287104;;die zeit ist reif fuer den kohleausstieg  der ist oekologisch noetig  amp  wirtschaftlich sinnvoll  mehr zur ioew studie  
71;842017707608399872;;spd forderungen  absicherung von selbststaendigen handwerkern  azubi ticket und abschaffung meistergebuehren nrwir  
72;859773661561147392;;wir   haben sie abgeschafft und das soll auch  bleiben  nrwir studiengebuehren ltwnrw2017 
73;881807461384146944;;gegensaetze holzhaus und baracke   welleternit vermutlich asbestgotlindestrasse lichtenberg 
76;875095539011944448;;berlin gemeinsam mit gaesten von zuhause dem bethel team beim teamlauf  tiergarten hat spa gemacht 150jahrebethel 
77;899636917846900736;;sommerinterview von  mit    ausstrahlung morgen   uhr  auch per livestream  
79;825673886461214720;;   was ist jemand wie hoecke sonst 
80;882180688610557952;;meine rede letzten freitag zur abschaffung der stoererhaftung  die union hatte endlich ihren widerstand aufgegeben  
81;899318039354769408;;polemik von connemann bei messe eroeffnung gegen gruene schlechter wahlkampfstil   gruene haben gerade bei duev kleinbetriebe geschont 
82;847034852310421504;;wir freuen uns  dass  unsere glasfasermesse     eroeffnet hier das aktuelle kongressprogramm  
83;864475169317953536;;warum gruen waehlen  weil wir auch die parlamentarische vertretung der bienen sind  
84;889902800343359488;; auto bosse  die klimaschutz   abgase fuer spinnerei   bloen kostenfaktor halten  sind das problem  teuschen weiter  bis erwischt werden
85;875711665987346432;;eiertanz von ditib zeigt  dass zumutbarkeit  ramadan lieber jede  individuell entscheiden sollte  nichtmituns
86;890492935481036800;;mehr infos   
88;913474466516226048;;rlrt  lov schmink counter  steht ihr hier  oder seid ihr schon schoen  femalefutureforce
89;854273068809715712;;der langstreckentransport von lebenden tieren boomt und wird von der agrarpolitik von union und spd befeuert  das    
91;873559870963941376;;katrin   wenn wir regieren  schalten wir die zwanzig schmutzigsten kohlekraftwerke sofort   klima 
92;897509833431281664;;gespraech mit dem ortsverband lorsch des vdk
93;904462168720060416;;die meist geklickte sendung auf sat1 bayern  
94;852476628886331392;;wahlkampf mit carsten loecker  groer dank  die unterstuetzer     
96;840208776254877696;;menschenrechte sind nicht teilbar  bundesrat erklaert unsichere staaten nicht fuer sicher  csu scheitert  gruene heku
97;873252044085317632;;afd stammtisch  parchim wir sind vor ort und  buerger 
98;893395006081388544;;berliner linke stellt ausbau der  infrage  
99;918162315001856000;;freemeale  wir dokumentieren die faelle all jener journalisten  die  tuerkischer haft sitzen  
100;889392001434746880;;  scheringer wrights r2g abrechnung   eine regierungsbeteiligung schadet der partei  amp  kritiker werden gemobbt 
103;842678768682655744;;radentscheid fuer muenchen mit   beraten wir gerne  
106;861979957395935232;;der blauebaer fuer den   platz geht  die junge europaeische bewegung     wir gratulieren ganz herzlich  europatag 
108;876405386307399680;;honig schleudern mit immenwohl   und  auf dem sachsen anhalt tag sat17 
109;835148115946647552;;hat  nicht gerade mit groem trara einen ombudsmann eingefuehrt  wird morgen auf titelseite korrigiert     
110;913711232695308288;; sehr gut   waere noch  hass ist keine meinung  von renate kuenast 
111;863699704089108480;;  gut   alle haben versagt   zumindest ist mir keinerlei dahingehende initiative bekannt 
116;892811724893630464;;dielinke bundesregierung will bundeswehr besuch  jordanien bislang verhindern  
117;916785351326359552;;nachgereicht  bericht von einem treffen mit betriebsratsmitgliedern von amazon brieselang  
118;837958574970134528;; eroeffnet die afd wahlversammlung  die die berliner landesliste fuer die bundestagswahl waehlen wird  
119;852427884375543808;;zeitungsverteilers liebling steglitz r2g 
121;906574437662818304;;wiedermal sympathisiert eine untergruppe der cdu mit der rente mit    
122;882661238198718464;;bei der   sommerserenade   chore der unihalle  herrliches wetter   wunderbare musik schlieen den tag   
123;910773038299348992;;jetzt geht  zur fimvorfuehrung mit  mit anschlieender diskussion  buedingen   kinos muessen gleichzeitig bespielt werden 
124;869836168392736768;;  berichte  innenausschuss jetzt fertig  jetzt beginnen wir mit der debatte der gesetzentwuerfe workworkwork ltby
125;888880061700608000;;klaus von dohnanyi  merkel personifiziert verlaesslichkeit und erfahrung  
126;847432582056759296;;podiumsdiskussion mit   nervoeserepublik hasskommentare  eilmeldungen und was daraus folgt  
127;825394895342927872;;nicht nur keine spareffekte  sondern wirtschaftliche verluste  milliardenhoehe drohen   vorpommern waren     
128;870282930362478592;;nach anschlaegen  berlin wuerzburg hannover ansbach     fordere ich aussetzung illegaler einwanderung 
129;842370582406696960;; das kommt noch dazu  durch den zusammenbruch der wirtschaft  osten wurde viel co2 reduziert  der sogenannte wall fall profit
130;857976073027547136;;masern koennen gefaehrlich sein  schuetzen sie sich und andere  lassen sie sich impfen  impfwoche 
131;879617659968663552;; konnte der robert habeck die staatskrise tatsaechlich verhindern  
132;835181250025558016;; ist zeit fuer mehr gerechtigkeit  zeit fuer martin  und zeit fuer dich  zeit   die  einzutreten  
133;874859447667105792;;das ist  wirrschafts  und zukunftsfaehig dich  aber uns  bezeichnet  als ideologisch  
134;845678457778589696;;mein interview  der heilbronner stimme     zur wahl  saarland und warum spd bisher nicht glaubwuerdig ist  
135;826795046523564032;;  hat recht  wir brauchen aber auch eine debatte ueber die kurzen beine der luege und verleumdung 
136;900797748877955072;;die  will das wahlalter auf  jahre senken   erklaert warum das die demokratie staerkt   
137;853711291281702912;;mit den jusos unterwegs bei den osterfeuern  schling und  oesterholz haustenbeck  heimatmitzukunft  begeistert
138;881902010655801344;;    mitspielen  dabei sein  eine zuenftige partie skat kloppen    jubilaeumspreisskat   jahre yvonne  amp  olli     
141;896718479105171456;;zuwanderungszahlen  entscheidend ist integrationsfaehigkeit  bei   oder mehr migranten  einem viertel ist diese weniger gut als bei  
142;907669734942003200;;mein kandidatenportraet  der freien presse zum nachlesen politiker  bahnfahrer  schnell leser  via 
144;917486298595766272;;harald petzold  linke  betonte  die stellungnahme sei sachlich  nach unserer einschaetzung  den wesentlichen    
145;913308255765581824;; ist doch eine riesige biografische ironie  dass schaeuble nun chefauseher der parteienfinanzierung wird  
146;830832351391391744;;heute wird der neue bundespraesident gewaehlt  von gauck werden uns diese saetze besonders  erinnerung bleiben  
147;880012863607365632;;nsaua the ugly  die vielen leaks zeigen  dass geheimdienstkontrolle noch sehr viel mehr professionalisiert werden muss 
149;826932232694726656;;bei den recherchen  diesem text wurde zunaechst ein entscheidender punkt uebersehen  
150;826508145258278912;; nein  aber ein anfang  man sieht  kaempfen lohnt sich 
151;849597421529292800;;kriminalstatistik    steilvorlage fuer kritiker  via 
154;857333870789885952;; wer schon 2euro1nrw mag  wird das original fahrscheinfrei lieben   vergleicht selbst  
156;852525458562437120;;   bundesregierung rechnet zahlen zur entwicklungszusammenarbeit schoen  
