"ID","text","isRetweet","isQuote","positveSentimentScore","negativeSentimentScore","party","twitter.handle","weeksTillElection","ridge5","ridge3","ridge2","enet5","enet3","enet2","lasso5","lasso3","lasso2","sentimentScore"
817636517703131136,"Lieber @DerSPIEGEL  wir gratulieren zum 70  Schoen  dass es Dich gibt  #DerSpiegel #70JahreSpiegel",1,0,4,-1,"SPD","UelkerRadziwill",37,0.781,0.798,0.842,1.107,0.998,1.193,1.118,0.971,1.076,"1"
817696672260222976,"@DWoehrl find ich super",1,0,4,-1,"CSU","DWoehrl",37,0.226,0.248,0.274,0.549,0.578,0.517,0.547,0.538,0.482,"1"
817707712008093696,"@DWoehrl wow  Spannend  Dann schalte ich doch gerne wieder ein",1,0,4,-1,"CSU","DWoehrl",37,0.386,0.431,0.481,0.713,0.682,0.712,0.682,0.637,0.654,"1"
817736500297207808,"#Abschiebungen nach #Afghanistan stoppen PARITAeTISCHER Hessen appelliert an Landesregierung und Landtag",1,0,1,-1,"DIE LINKE","DEZi_Brb",37,-0.083,-0.133,-0.154,-0.125,-0.19,-0.212,-0.083,-0.204,-0.225,"-1"
818025016738648064,"Zwei linke Polizisten verteidigen Grundrechte in Debatte zur Videoueberwachung  Sehr schoen     @BuettnerAndreas",0,0,5,-1,"DIE LINKE","DEZi_Brb",36,0.206,0.186,0.209,0.354,0.379,0.416,0.364,0.361,0.387,"1"
818052129189404672,"@jensspahn Herzlichen Glueckwunsch",0,0,3,-1,"CDU","JoWadephul",36,0.327,0.345,0.374,0.738,0.717,0.736,0.733,0.707,0.735,"1"
818101178311458816,"Mit einem Boot zum schnorcheln  anschlie<df>end Pause auf eine Insel und schwupp  schon eine neue Frisur",0,0,1,-1,"SPD","GabyKatzmarek",36,0.014,0.015,0.14,0.027,0.048,0.018,0.017,0.045,0.039,"0"
818220364165775360,"Es geht voran  Die neue Website ist online     Noch nicht ganz fertig  Aber fast",0,0,1,-1,"AfD","FrankScholtysek",36,0.05,0.084,0.185,-0.064,0.084,0.203,-0.108,0.046,0.115,"0"
818733522542350336,"@kahrs Danke",0,0,3,-1,"SPD","NataschaKohnen",36,0.169,0.199,0.228,0.533,0.63,0.628,0.528,0.608,0.613,"0.5"
819084147016736768,"Gute Nachrichten fuer die SPD  auch in der aktuellen Forsa Umfrage ist die Partei noch nicht unter die 20   Marke gerutscht",1,0,2,-1,"CDU","drmfuchs",36,0.38,0.734,0.795,0.467,0.606,0.682,0.473,0.603,0.693,"0.5"
819092175556407296,"Es ist richtig  dass zumindest erst einmal in gro<df>en Firmen Frauen #Auskunftsanspruch zu Gehaeltern der Maenner in vglb  Job haben  #equalpay",0,0,1,-1,"CDU","wanderwitz",36,0.446,0.897,0.938,0.22,0.737,0.743,0.135,0.602,0.525,"0,5"
819109380977291264,"Das Russisch Roulette geht leider weiter  Verpuffung im #AKW #Doel #Belgien   Endlich Abschalten  Sofort  #atomkraft",0,0,2,-5,"GRUENE","Oliver_Krischer",36,-0.907,-0.927,-0.977,-0.995,-1.394,-1.26,-0.95,-1.314,-1.197,"-1"
819143701519802368,"Die CSU ist staerker als alle anderen im Parlament vertretenen Parteien zusammen  #Bayerntrend",0,0,1,-1,"CSU","AndiScheuer",36,0.273,0.531,0.575,0.043,0.332,0.38,-0.013,0.173,0.074,"0,5"
819212545034747904,"Ente gut  alles gut @MatthiasGastel",0,0,2,-1,"GRUENE","W_SK",36,0.319,0.522,0.572,0.953,1.246,1.449,0.971,1.25,1.448,"0,5"
819212682846998528,"@MGrosseBroemer Ja  ja  die boesen ideologischen wissenschaftlichen Studien",0,0,1,-3,"DIE LINKE","DietmarBartsch",36,-0.125,-0.278,-0.315,-0.027,-0.265,-0.153,-0.032,-0.138,-0.134,"-0.5"
819475925083521024,"Chief Economist #ECE Thomas Fricke in #weimar17 @GrueneBundestag Vom #Bankencrash zum Ruck nach #Rechts   #Globalisierung u die Wut im Volk",0,0,1,-1,"GRUENE","BabettesChefin",36,0,-0.031,-0.154,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0"
819567614758420480,"Guter Mann  unser Finanzminister Super  @NowaboFM",0,0,1,-1,"SPD","DagmarAndres",36,0.459,0.469,0.566,1.038,1.221,1.33,1.049,1.19,1.273,"1"
819781393613893632,"Schoenen Freitag",0,0,3,-1,"SPD","Ralf_Stegner",36,0.231,0.276,0.321,0.687,0.844,1.15,0.682,0.797,1.012,"1"
819865247767007232,"Dann wei<df> er ja wovon er spricht  wenn es um gelungene #Integration geht",0,1,1,-1,"SPD","josip_juratovic",36,0.177,0.363,0.379,-0.027,0.342,0.12,-0.032,0.181,0.012,"0.5"
819931881185615872,"Kleine Pause fuer einen Winterspaziergang",0,0,1,-1,"CDU","XaverJung",36,0.041,0.039,0.139,-0.022,-0.038,-0.118,-0.029,-0.049,-0.098,"0"
820281832973488128,"@OlafWedekind @dielinkeberlin er war damit unfair gegenueber den Opfern  Es war ein Schlag ins Gesicht",0,0,1,-1,"CDU","HeikoMelzer",36,-0.537,-0.515,-0.529,-0.514,-0.37,-0.475,-0.438,-0.37,-0.442,"-1"
820534910033268736,"Voller Zugang zum europaeischen Markt ist ueberhaupt kein Problem  Nennt sich EU   #brexit #Hammond @tagesschau",0,1,2,-1,"GRUENE","katdro",35,0.119,0.28,0.296,-0.069,0.034,-0.047,-0.044,-0.23,-0.201,"0.5"
820563960688766976,"Blaibach weltweit auf Platz 4  das ist doch mal ein Zeichen  dass Kultur auf hoechstem Niveau  gerade auch auf dem",0,0,1,-1,"CSU","Gertinger",35,0.441,0.486,0.556,0.419,0.302,0.318,0.538,0.19,0.193,"1"
820735543575244800,"Jetzt bewerben fuer Unser Dorf hat Zukunft",0,0,2,-1,"SPD","Sabine_Baetzing",35,0.177,0.334,0.362,0.094,0.449,0.458,0.047,0.364,0.327,"0.5"
821009390337687552,"@daniel erk @BMVI Sehr guter Vorschlag",0,0,4,-1,"CSU","DoroBaer",35,0.234,0.256,0.315,0.463,0.602,0.648,0.469,0.598,0.657,"1"
821285340166098944,"Die Bundesrepublik Deutschland als wehrhafte Demokratie wird sich weiter wirksam ihrer Verfassungsfeinde erwehren koennen   #BVerfG #npd",0,0,1,-1,"GRUENE","peter_simone",35,0.045,0.036,0.144,0.127,0,0.277,0.069,-0.054,0.033,"0"
821297832854482944,"@ichgruessesie @ LarsPetersen Naivitaet Immunisierung  Medien s  umstrittene Katalysatoren d  oeffentl Meinung  spiegeln und bilden diese",0,0,1,-1,"DIE LINKE","nelken_berlin",35,-0.121,-0.149,-0.177,-0.039,-0.041,-0.153,-0.033,-0.054,-0.134,"0"
821300917911879680,"Das Wichtigste im Kampf gegen die extreme Rechte  Rassismus und Antisemitismus ist die Foerderung von Demokratie und gelebter Antifaschismus",0,0,2,-1,"GRUENE","sven_kindler",35,-0.74,-0.763,-0.801,-0.54,-0.463,-0.416,-0.521,-0.422,-0.332,"-1"
821383864610394112,"Gemeinsam fuer mehr #Lohngerechtigkeit mit Karamba Diaby und Marina Kermer  #equalpay @spdbt",0,0,1,-1,"SPD","MechthildRawert",35,0.369,0.741,0.779,0.078,0.434,0.46,0.044,0.356,0.342,"0.5"
821593665751646208,"Guten Morgen aus Bordesholm Gestern einige Paukenschlaege NPD wird vom Bundesverfassungsgericht als Nazipartei bewertet aber nicht verboten",0,0,2,-1,"SPD","Ralf_Stegner",35,0.158,0.244,0.222,0.687,0.867,0.872,0.672,0.82,0.828,"0.5"
821617770857119744,"Hat Spa<df> gemacht gestern bei #whatsnext      #Digitalisierung",0,1,1,-1,"CDU","MaikBeermann",35,0.568,0.597,0.613,0.501,0.618,0.597,0.47,0.571,0.492,"1"
821647834101510144,"Herzlichen Glueckwunsch @GoeringEckardt und @cem oezdemir   Jetzt auf in einen starken Gruenen Wahlkampf  #btw17",0,0,3,-1,"GRUENE","SteffiLemke",35,0.504,0.591,0.725,1.179,1.433,1.82,1.168,1.401,1.698,"1"
821710993613094912,"Sehr gut",0,1,4,-1,"DIE LINKE","MichaelLeutert",35,0.137,0.171,0.201,0.463,0.602,0.648,0.469,0.598,0.657,"1"
821750248330633216,"super  das finde ich richtig gut  @RSL99",0,1,4,-1,"GRUENE","monikalazar",35,0.391,0.45,0.498,1.128,1.24,1.319,1.115,1.19,1.273,"1"
821772878182055936,"Gratulation nach Kiel  #Gleichstellung #Quote #frauenpower",0,1,1,-1,"DIE LINKE","Conni_Moehring",35,0.323,0.357,0.423,0.193,0.128,0.159,0.136,0.082,0.072,"1"
822002977724452864,"Ich habe ein Video zu einer @YouTube Playlist hinzugefuegt   Die da oben   wir hier unten  Diskussion ueber",0,0,1,-1,"SPD","MdB_Ulrike_Bahr",35,-0.073,-0.111,-0.182,-0.042,-0.041,-0.153,-0.043,-0.054,-0.134,"0"
822046135426707456,"BunReg taeuscht Oeffentlichkeit Bundesrechnungshof entlarvt Plan fuer Privatisierung der Autobahnen durch die Hintertuer",0,0,1,-1,"DIE LINKE","SWagenknecht",35,-0.563,-0.57,-0.569,-0.505,-0.29,-0.262,-0.427,-0.191,-0.158,"-1"
822067348911820800,"Statement des CSU Fraktionsvorsitzenden Thomas Kreuzer zum Abschluss der intensiven Beratungen der Landtags CSU",1,0,1,-1,"CSU","KS_MdL",35,0.075,0.084,0.168,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0"
822078189145116672,"@MartinSoechting Stimmt die sind bessere Orte fuer Erinnerung aber eben nur gezielt aufsuchbar Mahnmal liegt zentral jedeR sieht es",0,0,2,-1,"DIE LINKE","NiemaMovassat",35,0.318,0.595,0.6,0.076,0.237,-0.026,0.036,0.184,0.033,"0.5"
822134830569811968,"Vorreiter fuer #Verbraucherschutz gesucht  Deutsche Stiftung Verbraucherschutz vergibt am 19 06  ihren Bundespreis",1,0,2,-1,"GRUENE","NicoleMaisch",35,0.003,0.03,-0.072,-0.041,-0.038,-0.123,-0.029,-0.049,-0.1,"0"
822138025610186752,"Hass und Hetze haben mit Meinungsfreiheit nichts zu tun",0,1,1,-5,"SPD","s_schwartze",35,-0.442,-0.461,-0.47,-0.832,-0.882,-0.881,-0.81,-0.867,-0.865,"-1"
822171032274567168,"Hoecke Rede   AfD ist Partei der Eliten   mit nationalistischem Getoese  Podcast   Artikel",0,0,1,-1,"DIE LINKE","Diether_Dehm",35,-0.268,-0.485,-0.507,-0.468,-0.68,-0.867,-0.486,-0.693,-0.87,"-0,5"
822190077703057408,"@JustusBender Stand gestern schon im Focus  Nicht nur Spiegel online lesen",0,0,1,-1,"AfD","FraukePetry",35,-0.22,-0.467,-0.514,-0.127,-0.351,-0.623,-0.108,-0.302,-0.548,"-0.5"
822405171674312704,"Hoecke darf Beamter bleiben  Holm muss gehen  Wir wussten immer  dass der Staat auf unserer Seite ist",1,0,1,-1,"DIE LINKE","HeikeHaensel",35,0.12,0.342,0.366,-0.023,0.209,0.17,-0.032,0.103,0.006,"0,5"
822439236716654592,"@NiemaMovassat Staatsversagen oder",0,0,1,-1,"DIE LINKE","HeikeHaensel",35,-0.296,-0.294,-0.299,-0.529,-0.319,-0.238,-0.448,-0.158,-0.134,"-1"
822479408388784128,"Herzlichen Glueckwunsch",0,1,3,-1,"CDU","MGrosseBroemer",35,0.327,0.345,0.374,0.738,0.717,0.736,0.733,0.707,0.735,"1"
822497476599021568,"Die  grausamste Rede   die ich von einem US  Praesidenten gehoert habe  Gefaehrlich",1,0,1,-5,"SPD","GabiWeberSPD",35,-0.311,-0.31,-0.293,-0.556,-0.571,-0.472,-0.552,-0.449,-0.298,"-1"
822506132870746112,"Landeschef #Senftleben eroeffnet Landesvertreterversammlung der @CDU Brandenburg in #Potsdam",1,0,1,-1,"CDU","SteinekeCDU",35,0.124,0.16,0.256,0.075,0.46,0.385,0.038,0.407,0.28,"0"
822695233259507712,"Schoenes Wochenende",0,0,3,-1,"SPD","Ralf_Stegner",35,0.187,0.213,0.334,0.423,0.496,0.876,0.416,0.455,0.766,"1"
822903014759469056,"Winterfest des Karnevals in Ruppichteroth   mit unserem Landtagsabgeordneten Dirk Schloemer",0,0,2,-1,"SPD","sebast_hartmann",35,-0.011,0.006,0.06,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0"
823226443102621696,"@UdoWolfMdA Sie sind echt der Knaller  Dieser Beitrag ist so niveaulos  Schaemen Sie sich",0,0,1,-5,"CDU","dannyfreymark",34,-0.26,-0.265,-0.29,-0.027,-0.169,-0.263,-0.032,-0.157,-0.213,"-1"
823444930089644032,"Zum heutigen Tag der Handschrift wuenschen wir euch einen guten Wochenstart",1,0,3,-1,"SPD","danielakolbe",34,0.365,0.659,0.7,0.534,0.875,0.857,0.523,0.848,0.831,"0,5"
823467663779303424,"Moeglicherweise gibt es heute schon den naechsten Abschiebeflug  #Afghanistan ist nicht sicher  Abschiebungen stoppen",0,0,2,-1,"DIE LINKE","ch_buchholz",34,-0.237,-0.405,-0.416,-0.083,-0.203,-0.217,-0.042,-0.13,-0.058,"-0.5"
823595993711132672,"Der ist hervorragend liebe @DB Presse  #alternativefacts",0,1,4,-1,"CDU","SteinekeCDU",34,0.548,0.582,0.614,0.568,0.558,0.614,0.54,0.501,0.51,"1"
823600290339364864,"Herzlichen Dank  Herr Reinisch und dito",0,1,2,-1,"SPD","michaelaengel",34,0.438,0.776,0.824,0.849,1.045,1.14,0.863,1.052,1.163,"0.5"
823640731789172736,"Amri war bis 53min vor dem Anschlag #Breitscheidplatz in der Fussilet33 Moschee und wurde dabei gefilmt",0,0,2,-1,"GRUENE","KonstantinNotz",34,-0.612,-0.604,-0.666,-0.559,-0.392,-0.393,-0.512,-0.293,-0.329,"-1"
823861011874803712,"Er hat uns Deutschen gut getan    Vertreter aus Politik und Gesellschaft nehmen Abschied von Roman Herzog",1,0,2,-1,"CDU","petertauber",34,0.309,0.55,0.626,0.432,0.839,0.827,0.417,0.761,0.738,"0.5"
823865150159618048,"Sehr guter Artikel von Sarah Lincoln von @BROT furdiewelt zum Thema #Unternehmensverantwortung",0,0,3,-1,"GRUENE","UweKekeritz",34,0.399,0.771,0.817,0.46,0.602,0.648,0.469,0.598,0.657,"0,5"
823886806580154368,"Wow  Maren Ade ist mit Toni Erdmann fuer den Oscar nominiert  Mein Glueckwunsch an diese tolle Regisseurin           ms",0,0,4,-1,"GRUENE","TabeaRoessner",34,0.968,1,1.049,1.338,1.358,1.362,1.341,1.294,1.24,"1"
823896638133596160,"#SigmarGabriel schlaegt gerade vor  dass #MartinSchulz #Kanzlerkandidat und #Parteivorsitzender werden soll",0,0,1,-1,"SPD","UlliNissen",34,-0.017,0.016,0.033,-0.027,-0.069,-0.161,-0.032,-0.055,-0.134,"0"
823897081379176448,"Stimmt",0,0,2,-1,"SPD","juergencosse",34,0.027,0.037,0.05,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0"
823905031761981440,"@kladieherkunst So eine rechtspopulistische Zeitung lese ich nicht",0,0,1,-1,"AfD","alex_gauland",34,-0.177,-0.368,-0.381,-0.027,-0.261,-0.221,-0.032,-0.136,-0.134,"-0.5"
823907601180200960,"Die @spdde geht mit einer hervorragenden Bilanz und sehr guten Perspektiven selbstbewusst in den Wahlkampf  @sigmargabriel @MartinSchulz",0,0,1,-1,"SPD","SoenkeRix",34,0.589,0.671,0.727,0.93,1.097,1.24,0.894,1.029,1.102,"1"
823915117381357568,"@Al mitschkovski 598 ist die regulaere Staerke  Das ist das Ziel  Durch moegliche Ueberhangmandate kann es ein paar mehr geben  Aber max 630",0,0,1,-1,"CDU","olavgutting",34,0.243,0.357,0.511,0.032,0.058,0.362,0.008,-0.003,0.244,"0"
823917850813497344,"Gab es jemals einen Parteivorsitzenden  der sich zwei Mal vor der Kanzlerkandidatur gedrueckt hat  @sigmargabriel @spdde",1,0,1,-1,"CDU","AWidmannMauz",34,-0.215,-0.517,-0.544,-0.027,-0.325,-0.241,-0.032,-0.161,-0.134,"-0,5"
823989099547729920,"@ralf stegner Sehr guter Auftritt im  Brennpunkt  zur K Frage  Klar  souveraen  ueberzeugend  Glueckwunsch und weiter so",1,0,4,-1,"SPD","Ralf_Stegner",34,0.468,0.486,0.531,0.9,0.945,1.025,0.9,0.915,0.976,"1"
823990508271923200,"An Tagen wie diesen   drohen solch gute Nachrichten unterzugehen  Darum lesen  RLP mit HaushaltsPlus  #",1,0,2,-1,"SPD","ThomasHitschler",34,0.398,0.8,0.852,0.463,0.602,0.648,0.469,0.598,0.657,"0,5"
824040477578166272,"Klar geht #r2g mit @MartinSchulz wie mit @sigmargabriel   Einfach mal RESPEKT  @denkfabrik SPD",0,0,4,-1,"SPD","FrankSchwabe",34,0.156,0.154,0.169,0.276,0.175,0.121,0.265,0.148,0.076,"1"
824170034096472064,"Unterwegs zum Bundestagsausschuss #Bildung und Forschung  Gleich beginnt ein Fachgespraech ueber die Lage der Hochschulen  #Bundestag",0,0,1,-1,"CDU","UweSchummer",34,0.3,0.623,0.702,0.166,0.415,0.549,0.105,0.298,0.448,"0,5"
824204607761108992,"@fischsigns Ist das Stimmt  Leider werden Entlastungen der Laender durch den Bund  wie Bafoeg  nicht immer an Hochschulen weitergeleitet",0,0,1,-4,"CDU","UweSchummer",34,-0.208,-0.306,-0.418,-0.496,-0.524,-1.114,-0.546,-0.602,-1.089,"0"
824216340542189568,"Ich freue mich auf einen leidenschaftlichen Wahlkampf",0,1,4,-1,"SPD","katarinabarley",34,0.412,0.459,0.511,0.581,0.761,0.797,0.571,0.732,0.733,"1"
824288668991033344,"Laeuft",0,0,1,-1,"CDU","JensKoeppen",34,-0.011,-0.035,-0.065,-0.027,-0.045,-0.153,-0.032,-0.054,-0.134,"0.5"
824326748590505984,"Sportanlagenlaerm ist kein Laerm  sondern gehoert zum Sport dazu  Jetzt haben wir die Vorschriften gelockert  Endlich",0,0,2,-1,"CDU","JensKoeppen",34,0.354,0.744,0.822,-0.012,0.409,0.343,-0.058,0.201,0.075,"0,5"
824358080892833792,"@Philipp Gruen Danke     und gute Besserung",0,0,4,-1,"DIE LINKE","HendrikjeKlein",34,0.432,0.457,0.505,1.023,1.273,1.429,1.03,1.26,1.405,"1"
824381598539849728,"@UweSchummer Sehr gut  Zahlen lassen kalt  Namen nicht  Danke  Schoene Nachricht gegen Rechts",1,0,4,-1,"CDU","UweSchummer",34,0.49,0.542,0.575,1.195,1.477,1.776,1.221,1.487,1.731,"1"
824515774870159360,"Guten Morgen",0,0,3,-1,"SPD","sebast_hartmann",34,0.196,0.245,0.288,0.537,0.677,0.648,0.528,0.646,0.657,"1"
824593089662689280,"Wir wollen eine freie Gesellschaft sein  @petertauber    #wahlarena17 Termine",1,0,2,-1,"CDU","petertauber",34,0.269,0.473,0.509,0.234,0.607,0.545,0.186,0.534,0.449,"0,5"
824612576357191680,"#Steinmeier  Opposition ist Mist  aber sie ist der Duenger der Demokratie",1,0,2,-1,"SPD","ThomasHitschler",34,-0.211,-0.423,-0.439,-0.295,-0.673,-0.607,-0.268,-0.573,-0.464,"-0,5"
824632375099400192,"Jetzt live auf  Debatte zu #Laermschutz an #Sportanlagen  Fuer uns redet @PeterMeiwald",1,0,1,-1,"GRUENE","PeterMeiwald",34,0.04,0.063,0.192,-0.022,-0.038,-0.115,-0.029,-0.049,-0.098,"0"
824653208891117568,"Sehr informatives Gespraech mit dem Botschafter Tunesiens  S E  Elyes Kasri  #Tunesien",0,0,1,-1,"SPD","MechthildRawert",34,0.264,0.54,0.57,-0.027,0.148,0.084,-0.032,-0.05,-0.13,"0,5"
824695204338864128,"@gruenestuttgart Anna Christmann unsere Bundestagskandidatin  Wahlkreis 2",0,0,1,-1,"GRUENE","Muhterem_Aras",34,0.042,0.043,0.229,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0"
824702445683085312,"@pete rjackson das ist der erste Satz aus meiner heutigen Rede",0,0,1,-1,"DIE LINKE","stefanie_fuchs",34,-0.01,-0.013,-0.023,-0.027,-0.081,-0.194,-0.032,-0.074,-0.134,"0"
824907133909082112,"Bundestag gedenkt heute morgen der Opfer des #Nationalsozialismus  #holocaust",1,0,1,-1,"CDU","SteinekeCDU",34,-0.012,0.003,0.047,-0.249,-0.236,-0.313,-0.266,-0.245,-0.275,"0"
824972354723905536,"SPON vorab zur Kleinen Anfrage von @IreneMihalic  @KonstantinNotz zu #Amri  #Breitscheidplatz",1,0,1,-1,"GRUENE","IreneMihalic",34,-0.113,-0.15,-0.447,-0.23,-0.196,-0.361,-0.23,-0.179,-0.28,"0"
824988683086548992,"Herzlichen Glueckwunsch und viel Erfolg im @AuswaertigesAmt  @sigmargabriel",0,1,3,-1,"SPD","NielsAnnen",34,0.445,0.471,0.514,0.918,0.848,0.943,0.886,0.807,0.866,"1"
825011223213256704,"In Marzahn eroeffnet die erste modulare Fluechtlingsunterkunft",0,0,1,-1,"DIE LINKE","KirstenTackmann",34,0.261,0.533,0.555,0.172,0.566,0.397,0.106,0.413,0.28,"0,5"
825016204100120576,"@20piraten @rwolupo dafuer gibt es doch das Instrument der Namentlichen Abstimmung  oder",0,0,2,-1,"DIE LINKE","voglerk",34,0.012,-0.044,-0.147,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0"
825103890815340544,"Heute Abend dann die 3  Veranstaltung in Bayern  Es war wieder toll  Respekt an die Bayern",0,0,4,-1,"AfD","PoggenburgAndre",34,0.519,0.573,0.683,1.041,1.119,1.452,1.011,1.073,1.306,"1"
825283418640482304,"Sehr gute Landesvorstandssitzung seit 9 Uhr in Dessau  Aufbruchstimmung  #jetztistschulz",0,0,3,-1,"SPD","LischkaB",34,0.631,0.659,0.726,0.54,0.602,1.059,0.469,0.598,1.041,"1"
825295951308926976,"Neue Heimat in Marzahn  Berlin eroeffnet erste Modulare Fluechtlingsunterkunft   Berlin   Tagesspiegel Mobil",0,0,1,-1,"DIE LINKE","Katina_Schubert",34,0.405,0.809,0.831,0.249,1.027,1.353,0.156,0.864,1.012,"0.5"
825408122453901312,"Danke #Wolfsburg #listenaufstellung @die linke nds @Linksfraktion",0,0,2,-1,"DIE LINKE","JuttaKrellmann",34,0.267,0.433,0.437,0.533,0.63,0.628,0.528,0.608,0.613,"0.5"
825428851614416896,"Wirklich interessante Daten  @GruenMeyer macht anscheinend eine gute Arbei",1,0,3,-1,"GRUENE","julia_verlinden",34,0.362,0.67,0.751,0.442,0.602,0.65,0.455,0.598,0.657,"0,5"
825505412652875776,"Danke @TheaterSchwerin fuer den wunderschoenen Theaterball",0,0,3,-1,"SPD","ManuelaSchwesig",33,0.182,0.216,0.249,0.537,0.633,0.663,0.532,0.614,0.649,"1"
825559580360978432,"Gewaschen  gute Idee  Sonst erscheint ja immer dieses ungewaschene Profidemonstrantentum",0,1,2,-1,"AfD","MarcusPretzell",33,0.451,0.883,0.931,0.463,0.602,0.648,0.469,0.598,0.657,"0,5"
825579790950395904,"@BetterCallAxel @MartinSchulz @spdde Danke  wird ein schoener Tag",0,0,4,-1,"SPD","tsghessen",33,0.27,0.312,0.356,0.914,1.05,1.197,0.925,1.023,1.134,"1"
825658649305575424,"Super  Einstimmige Nominierung von @MartinSchulz zum SPD Vorsitzenden und Kanzler im @spdde Parteivorstand    #ZeitfuerMartin",0,0,4,-1,"SPD","KerstinGriese",33,0.526,0.564,0.681,0.616,0.578,0.546,0.589,0.538,0.482,"1"
825659878043746304,"Ein irres Gefuehl  Gerade bin ich vom Vorstand meiner Partei zum Kanzlerkandidaten nominiert worden  Ich bin demuetig und dankbar",0,0,1,-1,"SPD","MartinSchulz",33,0.502,0.539,0.747,0.304,0.208,0.112,0.413,0.153,0.035,"1"
825665871926423552,"Ja  bin schon da",0,1,1,-1,"SPD","michaelaengel",33,0.006,0.008,0.015,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0"
825692428778749952,"Digitalisierung muss gestaltet werden  Sie braucht gute Infrastruktur und Sie braucht Regeln #SPD",0,0,2,-1,"SPD","s_schwartze",33,0.248,0.465,0.483,0.463,0.766,0.838,0.469,0.712,0.756,"0,5"
825698433621188608,"Mit meiner #kathiausFranken zu Besuch in der Gedenkstaette Buchenwald",0,0,1,-1,"SPD","MartinGuell",33,0.023,0.021,0.075,-0.027,-0.041,-0.153,-0.032,-0.054,-0.134,"0"
825757651472617472,"@keinetheorie Ja fehlende Reform und Demokratisierung ist gro<df>es Problem Aber Sanktionen fuehren eben auch nicht dazu",0,0,1,-1,"DIE LINKE","NiemaMovassat",33,-0.201,-0.387,-0.375,-0.037,-0.249,-0.239,-0.023,-0.186,-0.128,"-0.5"
826051099576639488,"Ich fordere  dass #Merkel wg #muslimban den US Botschafter einbestellt  via #EU Protestresolution in die UN bringt  Pruefen Klage vorm EuGH",0,0,1,-1,"DIE LINKE","katjakipping",33,-0.419,-0.715,-0.762,-0.267,-0.497,-0.576,-0.217,-0.425,-0.479,"-0,5"
